label,Motif
PC 19660202,Horse Race
PC 19660203,0
PC 19660204,0
PC 19660205,Female
PC 19660205,Guilloche
PC 19660205,Banquet
PC 19660206,Guilloche
PC 19660206,Horse Race
PC 19660207,0
PC 19660208,0
PC 19660209,0
PC 19660210,0
PC 19660211,0
PC 19660212,Dots
PC 19660213,0
PC 19660214,Banquet
PC 19660215,Lion
PC 19660216,Procession
PC 19660217,0
PC 19660218,Guilloche
PC 19660219,Horse Race
PC 19660220,Female
PC 19660220,Banquet
PC 19660221,Gorgon
PC 19660222,Feline
PC 19660223,Feline
PC 19660224,Seated Figure
PC 19660224,Guilloche
PC 19660224,Horse Race
PC 19660225,Rosette
PC 19660226,Guilloche
PC 19660226,Horse Race
PC 19660227,Panther
PC 19660227,Feline
PC 19660228,0
PC 19660229,Feline
PC 19660229,Panther
PC 19660230,Feline
PC 19660231,Seated Figure
PC 19660231,Lotus
PC 19660231,Guilloche
PC 19660232,Lotus
PC 19660232,Procession
PC 19660232,Guilloche
PC 19660233,Gorgon
PC 19660233,Tongue
PC 19660234,Gorgon
PC 19660235,0
PC 19660236,0
PC 19660237,Rosette
PC 19660237,Panther
PC 19660238,Rosette
PC 19660239,Panther
PC 19660240,Animal
PC 19660240,Panther
PC 19660241,Guilloche
PC 19660241,Procession
PC 19660242,Procession
PC 19660242,Guilloche
PC 19660243,Lotus
PC 19660243,Procession
PC 19660243,Guilloche
PC 19660244,Procession
PC 19660244,Guilloche
PC 19660244,Female
PC 19660245,Procession
PC 19660246,Procession
PC 19660247,Meander
PC 19660248,0
PC 19660249,Panther
PC 19660250,0
PC 19660251,Guilloche
PC 19660251,Horse Race
PC 19660252,Horse Race
PC 19660252,Guilloche
PC 19660253,Horse Race
PC 19660254,Horse Race
PC 19660255,Horse Race
PC 19660256,Guilloche
PC 19660256,Seated Figure
PC 19660256,Banquet
PC 19660257,Seated Figure
PC 19660257,Banquet
PC 19660257,Guilloche
PC 19660258,Feline
PC 19660259,Animal
PC 19660260,Banquet
PC 19660260,Seated Figure
PC 19660260,Female
PC 19660261,Banquet
PC 19660261,Seated Figure
PC 19660262,Banquet
PC 19660262,Seated Figure
PC 19660263,Guilloche
PC 19660263,Banquet
PC 19660264,Banquet
PC 19660264,Female
PC 19660264,Guilloche
PC 19660265,Female
PC 19660265,Banquet
PC 19660266,Female
PC 19660266,Banquet
PC 19660266,Seated Figure
PC 19660267,Seated Figure
PC 19660267,Banquet
PC 19660268,Banquet
PC 19660268,Guilloche
PC 19660269,Banquet
PC 19660269,Seated Figure
PC 19660270,Procession
PC 19660270,Female
PC 19660270,Lotus
PC 19660271,Gorgon
PC 19660272,Animal
PC 19660273,Panther
PC 19660273,Rosette
PC 19660274,Guilloche
PC 19660275,0
PC 19660276,Feline
PC 19660277,Banquet
PC 19660277,Guilloche
PC 19660278,Horse Race
PC 19660279,0
PC 19660280,Procession
PC 19660280,Female
PC 19660281,Seated Figure
PC 19660281,Guilloche
PC 19660282,Guilloche
PC 19660282,Seated Figure
PC 19660283,Seated Figure
PC 19660284,0
PC 19660285,Seated Figure
PC 19660286,Guilloche
PC 19660286,Seated Figure
PC 19660287,Seated Figure
PC 19660288,Guilloche
PC 19660289,Seated Figure
PC 19660290,0
PC 19660291,0
PC 19660292,0
PC 19660293,0
PC 19660294,0
PC 19660295,Circles
PC 19660296,Female
PC 19660296,Banquet
PC 19660296,Guilloche
PC 19660297,Seated Figure
PC 19660298,0
PC 19660299,0
PC 19660300,0
PC 19660301,0
PC 19660302,Seated Figure
PC 19660303,Seated Figure
PC 19660304,0
PC 19660305,0
PC 19660306,0
PC 19660307,0
PC 19660308,0
PC 19660309,0
PC 19660310,0
PC 19660311,0
PC 19660312,0
PC 19660313,0
PC 19660314,0
PC 19660315,Animal
PC 19660315,Feline
PC 19660316,0
PC 19660317,0
PC 19660318,0
PC 19670001,0
PC 19670002,0
PC 19670003,0
PC 19670004,0
PC 19670005,0
PC 19670006,0
PC 19670007,0
PC 19670008,0
PC 19670009,0
PC 19670010,Gorgon
PC 19670011,Rosette
PC 19670012,Lotus
PC 19670013,Geometric
PC 19670014,0
PC 19670015,0
PC 19670016,Tongue
PC 19670016,Gorgon
PC 19670017,Gorgon
PC 19670018,0
PC 19670019,Tongue
PC 19670019,Gorgon
PC 19670020,0
PC 19670021,0
PC 19670022,Guilloche
PC 19670023,Meander
PC 19670024,0
PC 19670025,0
PC 19670026,Gorgon
PC 19670027,0
PC 19670028,0
PC 19670029,0
PC 19670030,Feline
PC 19670031,0
PC 19670032,0
PC 19670033,0
PC 19670034,0
PC 19670035,Tongue
PC 19670035,Gorgon
PC 19670036,0
PC 19670037,0
PC 19670038,Rosette
PC 19670039,Horse
PC 19670040,0
PC 19670041,Gorgon
PC 19670042,0
PC 19670043,0
PC 19670044,Feline
PC 19670045,Gorgon
PC 19670046,Rosette
PC 19670046,Feline
PC 19670047,0
PC 19670048,0
PC 19670049,0
PC 19670050,0
PC 19670051,0
PC 19670052,0
PC 19670053,Feline
PC 19670053,Rosette
PC 19670054,Tongue
PC 19670054,Gorgon
PC 19670055,0
PC 19670056,Lotus
PC 19670056,Palmette
PC 19670057,Circles
PC 19670057,Palmette
PC 19670057,Lotus
PC 19670058,Volute
PC 19670058,Lotus
PC 19670059,0
PC 19670060,0
PC 19670061,Feline
PC 19670062,Feline
PC 19670063,Feline
PC 19670064,0
PC 19670065,Feline
PC 19670066,Gorgon
PC 19670067,Bird
PC 19670067,Female
PC 19670067,Potnia Theron
PC 19670068,Bird
PC 19670068,Lotus
PC 19670068,Volute
PC 19670069,Circles
PC 19670069,Potnia Theron
PC 19670070,0
PC 19670071,Female
PC 19670072,Lotus
PC 19670072,Flower
PC 19670073,Tongue
PC 19670073,Gorgon
PC 19670074,Gorgon
PC 19670075,0
PC 19670076,0
PC 19670077,Guilloche
PC 19670078,0
PC 19670079,Horse
PC 19670080,0
PC 19670081,0
PC 19670082,0
PC 19670083,0
PC 19670084,0
PC 19670085,Guilloche
PC 19670086,Rosette
PC 19670087,0
PC 19670088,0
PC 19670089,Banquet
PC 19670089,Female
PC 19670090,Rosette
PC 19670091,Palmette
PC 19670092,Feline
PC 19670093,0
PC 19670094,0
PC 19670095,Horse Race
PC 19670095,Guilloche
PC 19670096,Guilloche
PC 19670096,Horse Race
PC 19670097,Guilloche
PC 19670097,Horse Race
PC 19670098,Guilloche
PC 19670098,Horse Race
PC 19670099,Horse Race
PC 19670100,Horse Race
PC 19670101,Guilloche
PC 19670101,Horse Race
PC 19670102,Horse Race
PC 19670103,Horse Race
PC 19670104,Horse Race
PC 19670105,Horse Race
PC 19670106,Horse Race
PC 19670107,Gorgon
PC 19670107,Tongue
PC 19670108,Gorgon
PC 19670108,Tongue
PC 19670109,Gorgon
PC 19670109,Tongue
PC 19670110,Gorgon
PC 19670111,0
PC 19670112,0
PC 19670113,Horse Race
PC 19670114,Horse Race
PC 19670115,Horse Race
PC 19670116,Guilloche
PC 19670116,Horse Race
PC 19670117,Guilloche
PC 19670117,Horse Race
PC 19670118,Horse Race
PC 19670119,Horse Race
PC 19670120,Horse Race
PC 19670121,Horse Race
PC 19670122,Horse Race
PC 19670123,Horse Race
PC 19670124,Horse Race
PC 19670125,0
PC 19670126,0
PC 19670127,Feline
PC 19670128,Horse Race
PC 19670128,Guilloche
PC 19670129,Horse Race
PC 19670130,Horse Race
PC 19670131,Horse Race
PC 19670132,Horse Race
PC 19670133,Horse Race
PC 19670134,Horse Race
PC 19670135,Horse Race
PC 19670136,Horse Race
PC 19670137,Deer
PC 19670138,Horse Race
PC 19670139,Guilloche
PC 19670139,Horse Race
PC 19670140,Horse Race
PC 19670141,Horse Race
PC 19670142,Guilloche
PC 19670142,Horse Race
PC 19670143,Guilloche
PC 19670143,Horse Race
PC 19670144,Guilloche
PC 19670144,Horse Race
PC 19670145,Guilloche
PC 19670145,Horse Race
PC 19670146,Guilloche
PC 19670146,Horse Race
PC 19670147,Guilloche
PC 19670147,Horse Race
PC 19670148,Horse Race
PC 19670149,Guilloche
PC 19670149,Horse Race
PC 19670150,Guilloche
PC 19670150,Horse Race
PC 19670151,Horse Race
PC 19670151,Guilloche
PC 19670152,Horse Race
PC 19670153,Horse Race
PC 19670154,Horse Race
PC 19670155,Guilloche
PC 19670155,Horse Race
PC 19670156,Horse Race
PC 19670156,Guilloche
PC 19670157,Rosette
PC 19670158,Dots
PC 19670159,Circles
PC 19670160,Guilloche
PC 19670160,Bearded Head
PC 19670160,Banquet
PC 19670161,Banquet
PC 19670161,Female
PC 19670161,Guilloche
PC 19670162,Guilloche
PC 19670162,Banquet
PC 19670162,Female
PC 19670163,0
PC 19670164,0
PC 19670165,Deer
PC 19670166,Gorgon
PC 19670167,Gorgon
PC 19670168,0
PC 19670169,Banquet
PC 19670169,Guilloche
PC 19670170,Banquet
PC 19670171,Banquet
PC 19670171,Guilloche
PC 19670172,Banquet
PC 19670172,Female
PC 19670173,Banquet
PC 19670174,Female
PC 19670174,Banquet
PC 19670175,Female
PC 19670175,Guilloche
PC 19670175,Banquet
PC 19670176,Feline
PC 19670176,Rosette
PC 19670177,0
PC 19670178,Feline
PC 19670178,Volute
PC 19670179,Rosette
PC 19670179,Feline
PC 19670180,Female
PC 19670180,Banquet
PC 19670181,Banquet
PC 19670181,Female
PC 19670182,Female
PC 19670182,Guilloche
PC 19670182,Banquet
PC 19670183,Female
PC 19670183,Guilloche
