label,Motif
PC 19690335,Seated Figure
PC 19690336,Male
PC 19690337,0
PC 19690338,Seated Figure
PC 19690339,Seated Figure
PC 19690340,0
PC 19690341,0
PC 19690342,Rosette
PC 19690343,Rosette
PC 19690344,Rosette
PC 19690345,Seated Figure
PC 19690346,Seated Figure
PC 19690347,Seated Figure
PC 19690348,0
PC 19690349,Seated Figure
PC 19690350,Feline
PC 19690351,Feline
PC 19690351,Animal
PC 19690352,Gorgon
PC 19690353,0
PC 19690354,0
PC 19690355,0
PC 19690356,Feline
PC 19690357,Feline
PC 19690358,Procession
PC 19690359,0
PC 19690360,0
PC 19690361,0
PC 19690362,0
PC 19690363,0
PC 19690364,0
PC 19690365,0
PC 19690366,0
PC 19690367,0
PC 19690368,Tongue
PC 19690369,0
PC 19690370,0
PC 19690371,0
PC 19690372,0
PC 19690373,0
PC 19690374,0
PC 19690375,0
PC 19690376,0
PC 19690377,0
PC 19690378,0
PC 19690379,0
PC 19690380,0
PC 19690381,0
PC 19690382,Bird
PC 19690382,Circles
PC 19690383,Gorgon
PC 19690384,Procession
PC 19690385,0
PC 19690386,0
PC 19690387,0
PC 19690388,0
PC 19690389,Feline
PC 19690389,Rosette
PC 19690390,Feline
PC 19690390,Rosette
PC 19690391,0
PC 19690392,0
PC 19690393,0
PC 19690394,0
PC 19690395,Rabbit
PC 19690396,Guilloche
PC 19690397,Rabbit
PC 19690397,Guilloche
PC 19690398,Rabbit
PC 19690399,0
PC 19690400,Guilloche
PC 19690401,Rabbit
PC 19690402,Guilloche
PC 19690403,0
PC 19690404,Rabbit
PC 19690404,Guilloche
PC 19690405,Guilloche
PC 19690405,Rabbit
PC 19690406,Rabbit
PC 19690407,Rabbit
PC 19690408,0
PC 19690409,Rabbit
PC 19690410,Guilloche
PC 19690411,0
PC 19690412,0
PC 19690413,0
PC 19690414,0
PC 19690415,0
PC 19690416,0
PC 19690417,0
PC 19690418,0
PC 19690419,0
PC 19690420,Female
PC 19690420,Banquet
PC 19690421,Guilloche
PC 19690421,Banquet
PC 19690422,Banquet
PC 19690423,Seated Figure
PC 19690424,0
PC 19690425,0
PC 19690426,0
PC 19690427,0
PC 19690428,0
PC 19690429,0
PC 19690430,0
PC 19690431,0
PC 19690432,0
PC 19690433,0
PC 19690434,0
PC 19690435,Feline
PC 19690436,0
PC 19690437,0
PC 19690438,0
PC 19690439,0
PC 19690440,0
PC 19690441,0
PC 19690442,0
PC 19690625,0
PC 19690626,0
PC 19690627,0
PC 19690647,0
PC 19690648,0
PC 19690683,0
PC 19690684,0
PC 19690685,0
PC 19690689,0
PC 19690707,0
PC 19690709,0
PC 19690710,0
PC 19690711,0
PC 19690712,0
PC 19690713,0
PC 19690714,0
PC 19690715,0
PC 19700001,0
PC 19700002,Horse Race
PC 19700003,0
PC 19700004,0
PC 19700005,0
PC 19700006,Animal
PC 19700007,0
PC 19700008,0
PC 19700009,0
PC 19700010,0
PC 19700011,Feline
PC 19700012,0
PC 19700013,0
PC 19700014,0
PC 19700015,0
PC 19700016,0
PC 19700017,0
PC 19700018,0
PC 19700019,0
PC 19700020,0
PC 19700021,0
PC 19700022,Circles
PC 19700023,0
PC 19700024,0
PC 19700025,0
PC 19700026,0
PC 19700027,0
PC 19700028,Circles
PC 19700029,0
PC 19700030,Feline
PC 19700031,0
PC 19700032,0
PC 19700033,0
PC 19700034,0
PC 19700035,0
PC 19700036,Seated Figure
PC 19700037,Gorgon
PC 19700037,Tongue
PC 19700038,0
PC 19700039,0
PC 19700040,0
PC 19700041,0
PC 19700042,0
PC 19700043,Dots
PC 19700044,Geometric
PC 19700045,Gorgon
PC 19700045,Feline
PC 19700047,Gorgon
PC 19700048,Deer
PC 19700049,0
PC 19700050,0
PC 19700051,0
PC 19700052,0
PC 19700053,Rosette
PC 19700055,0
PC 19700056,0
PC 19700057,0
PC 19700058,Stag
PC 19700059,Sphinx
PC 19700060,Dots
PC 19700060,Volute
PC 19700061,0
PC 19700062,0
PC 19700063,0
PC 19700064,0
PC 19700065,0
PC 19700066,0
PC 19700067,0
PC 19700068,Bird
PC 19700069,0
PC 19700070,0
PC 19700071,Female
PC 19700072,0
PC 19700073,0
PC 19700074,Tongue
PC 19700075,0
PC 19700076,0
PC 19700077,0
PC 19700078,0
PC 19700079,Procession
PC 19700080,0
PC 19700081,Feline
PC 19700082,0
PC 19700083,Circles
PC 19700084,0
PC 19700085,0
PC 19700086,0
PC 19700087,0
PC 19700088,0
PC 19700089,0
PC 19700090,0
PC 19700091,0
PC 19700092,0
PC 19700093,0
PC 19700094,0
PC 19700095,0
PC 19700096,Circles
PC 19700097,0
PC 19700098,Deer
PC 19700099,0
PC 19700100,0
PC 19700101,0
PC 19700102,0
PC 19700103,0
PC 19700104,Volute
PC 19700105,0
PC 19700106,0
PC 19700107,0
PC 19700108,0
PC 19700109,0
PC 19700110,0
PC 19700111,0
PC 19700112,0
PC 19700113,0
PC 19700114,0
PC 19700115,0
PC 19700116,0
PC 19700117,Bird
PC 19700117,Female
PC 19700118,0
PC 19700119,0
PC 19700120,0
PC 19700121,0
PC 19700122,0
PC 19700123,0
PC 19700124,0
PC 19700125,Flower
PC 19700125,Volute
PC 19700125,Female
PC 19700126,0
PC 19700127,0
PC 19700128,0
PC 19700129,0
PC 19700130,0
PC 19700131,0
PC 19700132,0
PC 19700133,0
PC 19700134,Dots
PC 19700135,0
PC 19700136,0
PC 19700137,0
PC 19700138,0
PC 19700139,0
PC 19700140,0
PC 19700141,0
PC 19700142,0
PC 19700143,0
PC 19700144,0
PC 19700145,0
PC 19700146,0
PC 19700147,0
PC 19700148,0
PC 19700149,0
PC 19700150,0
PC 19700151,0
PC 19700152,0
PC 19700153,Circles
PC 19700154,Circles
PC 19700155,0
PC 19700156,0
PC 19700157,Gorgon
PC 19700158,Circles
PC 19700159,0
PC 19700160,Quadruped
PC 19700160,Animal
PC 19700161,0
PC 19700162,0
PC 19700163,0
PC 19700164,0
PC 19700165,0
PC 19700166,0
PC 19700167,0
PC 19700168,0
PC 19700169,Palmette
PC 19700170,Circles
PC 19700171,Quadruped
PC 19700171,Animal
PC 19700172,0
PC 19700173,Tongue
PC 19700174,Circles
PC 19700175,0
PC 19700176,0
PC 19700177,Feline
PC 19700178,0
PC 19700179,0
PC 19700180,Sphinx
PC 19700180,Quadruped
PC 19700180,Male
PC 19700181,Seated Figure
PC 19700182,0
PC 19700183,0
PC 19700184,0
PC 19700185,0
PC 19700186,0
PC 19700187,Seated Figure
PC 19700188,0
PC 19700189,Circles
PC 19700190,0
PC 19700191,0
PC 19700192,0
PC 19700193,0
PC 19700194,0
PC 19700195,0
PC 19700196,0
PC 19700197,0
PC 19700198,0
PC 19700199,0
PC 19700200,Feline
PC 19700201,0
PC 19700202,0
PC 19700203,0
PC 19700204,0
PC 19700205,0
PC 19700206,0
PC 19700207,0
PC 19700208,0
PC 19700209,Chevron
PC 19700210,0
PC 19700211,0
PC 19700212,0
PC 19700213,Bull
PC 19700214,0
PC 19700215,0
PC 19700216,0
PC 19700217,Volute
PC 19700218,0
PC 19700219,0
PC 19700220,0
PC 19700221,0
PC 19700222,0
PC 19700223,Feline
PC 19700224,0
PC 19700225,Palmette
PC 19700226,0
PC 19700227,0
PC 19700228,0
PC 19700229,0
PC 19700230,Dots
PC 19700231,0
PC 19700232,0
PC 19700233,0
PC 19700234,0
PC 19700235,0
PC 19700236,Dots
PC 19700237,0
PC 19700238,0
PC 19700239,0
PC 19700240,0
PC 19700241,0
PC 19700242,Gorgon
PC 19700243,Gorgon
PC 19700244,0
PC 19700245,0
PC 19700246,0
PC 19700247,0
PC 19700248,Seated Figure
PC 19700249,Seated Figure
PC 19700250,0
PC 19700251,0
PC 19700252,0
PC 19700253,Deer
PC 19700254,0
PC 19700255,Gorgon
PC 19700256,0
PC 19700257,0
PC 19700258,0
PC 19700259,Gorgon
PC 19700260,0
PC 19700261,Banquet
PC 19700262,Banquet
PC 19700263,Guilloche
PC 19700263,Horse Race
PC 19700264,Guilloche
PC 19700264,Seated Figure
PC 19700265,Bearded Head
PC 19700265,Seated Figure
PC 19700266,Feline
PC 19700267,0
PC 19700268,Gorgon
PC 19700269,Female
PC 19700270,Bird
PC 19700271,0
PC 19700272,0
PC 19700273,0
PC 19700274,0
PC 19700275,Gorgon
PC 19700276,Guilloche
PC 19700277,Flower
PC 19700277,Volute
PC 19700278,0
PC 19700279,Gorgon
PC 19700280,0
PC 19700281,Dots
PC 19700282,Animal
PC 19700282,Quadruped
PC 19700283,0
PC 19700284,0
PC 19700285,Horse
PC 19700286,0
PC 19700287,0
PC 19700288,Guilloche
PC 19700288,Seated Figure
PC 19700289,Bird
PC 19700290,0
PC 19700291,Banquet
PC 19700292,Dots
PC 19700293,0
PC 19700294,0
PC 19700295,Guilloche
PC 19700295,Seated Figure
PC 19700296,Gorgon
PC 19700297,Gorgon
PC 19700298,Gorgon
PC 19700299,Hair
PC 19700299,Seated Figure
PC 19700300,Hair
PC 19700301,0
PC 19700302,0
PC 19700303,0
PC 19700304,0
PC 19700305,0
PC 19700306,0
PC 19700307,0
PC 19700308,0
PC 19700309,Guilloche
PC 19700309,Banquet
PC 19700310,0
PC 19700311,Banquet
PC 19700312,0
PC 19700313,Horse
PC 19700313,Dots
PC 19700314,0
PC 19700315,Bird
PC 19700316,0
PC 19700317,0
PC 19700318,Flower
PC 19700319,0
PC 19700320,0
PC 19700321,0
PC 19700322,0
PC 19700323,0
PC 19700324,0
PC 19700325,0
PC 19700326,Circles
PC 19700327,0
PC 19700328,0
PC 19700329,0
PC 19700330,0
PC 19700331,0
PC 19700332,0
PC 19700333,Feline
PC 19700333,Animal
PC 19700334,0
PC 19700335,0
PC 19700336,0
PC 19700337,0
PC 19700338,0
PC 19700339,0
PC 19700340,0
PC 19700341,0
PC 19700342,0
PC 19700343,Palmette
PC 19700343,Dots
PC 19700344,0
PC 19700345,0
PC 19700346,0
PC 19700347,Flower
PC 19700347,Lotus
PC 19700347,Female
PC 19700348,0
PC 19700349,Gorgon
PC 19700350,Gorgon
PC 19700351,Seated Figure
PC 19700352,0
PC 19700353,Seated Figure
PC 19700354,0
PC 19700355,0
PC 19700356,0
PC 19700358,0
PC 19700359,Seated Figure
PC 19700360,Seated Figure
PC 19700361,Seated Figure
PC 19700362,Seated Figure
PC 19700363,Seated Figure
PC 19700364,Seated Figure
PC 19700365,Rosette
PC 19700366,Rosette
PC 19700367,Seated Figure
PC 19700368,Seated Figure
PC 19700369,Seated Figure
PC 19700370,Seated Figure
PC 19700371,0
PC 19700372,Seated Figure
PC 19700373,Seated Figure
PC 19700374,Seated Figure
PC 19700375,Seated Figure
PC 19700376,Seated Figure
PC 19700377,Rosette
PC 19700377,Feline
PC 19700378,Rosette
PC 19700379,0
PC 19700380,Seated Figure
PC 19700381,0
PC 19700382,Procession
PC 19700383,Procession
PC 19700384,Procession
PC 19700385,Procession
PC 19700386,0
PC 19700387,Notches
PC 19700388,0
PC 19700389,0
PC 19700390,0
PC 19700391,0
PC 19700392,0
PC 19700393,0
PC 19700394,0
PC 19700395,0
PC 19700396,0
PC 19700397,0
PC 19700398,0
PC 19700399,0
PC 19700400,0
PC 19700401,0
PC 19700402,0
PC 19700403,Animal
PC 19700404,0
PC 19700405,0
PC 19700406,0
PC 19700407,0
PC 19700408,0
PC 19700409,0
PC 19700410,0
PC 19700411,0
PC 19700412,0
PC 19700413,0
PC 19700414,0
PC 19700415,0
PC 19700416,0
PC 19700417,0
PC 19700418,0
PC 19700419,0
PC 19700420,0
PC 19700421,Gorgon
PC 19700422,Gorgon
PC 19700423,0
PC 19700424,0
PC 19700425,0
PC 19700426,0
PC 19700427,0
PC 19700428,0
PC 19700429,Feline
PC 19700430,Horse Race
PC 19700431,Horse Race
PC 19700432,0
PC 19700433,0
PC 19700434,0
PC 19700435,Guilloche
PC 19700436,0
PC 19700437,Guilloche
PC 19700438,Guilloche
PC 19700438,Rabbit
PC 19700439,Guilloche
PC 19700440,0
PC 19700441,Guilloche
PC 19700442,0
PC 19700443,0
PC 19700444,Guilloche
PC 19700444,Rabbit
PC 19700445,Guilloche
PC 19700446,0
PC 19700447,Guilloche
PC 19700448,Guilloche
PC 19700449,Rabbit
PC 19700450,Guilloche
PC 19700451,0
PC 19700452,Guilloche
PC 19700453,Animal
PC 19700453,Rabbit
PC 19700453,Guilloche
PC 19700454,0
PC 19700455,0
PC 19700456,Guilloche
PC 19700457,Rabbit
PC 19700458,0
PC 19700459,Guilloche
PC 19700460,Guilloche
PC 19700461,Rabbit
PC 19700462,Guilloche
PC 19700463,Rosette
PC 19700464,Rosette
PC 19700465,0
PC 19700466,0
PC 19700467,0
PC 19700468,Meander
PC 19700469,0
PC 19700470,0
PC 19700471,0
PC 19700472,Banquet
PC 19700473,Banquet
PC 19700474,Seated Figure
PC 19700475,Procession
PC 19700476,Seated Figure
PC 19700477,Seated Figure
PC 19700478,Seated Figure
PC 19700479,0
PC 19700480,0
PC 19700481,0
PC 19700482,0
PC 19700483,0
PC 19700484,0
PC 19700485,Feline
PC 19700486,0
PC 19700487,0
PC 19700488,0
PC 19700598,0
PC 19700599,0
PC 19700600,0
PC 19700601,0
PC 19700603,0
PC 19700604,0
PC 19700605,0
PC 19700606,0
PC 19701000,0
PC 19701001,0
PC 19701002,0
PC 19710001,0
PC 19710002,0
PC 19710003,0
PC 19710004,0
PC 19710005,0
PC 19710006,0
PC 19710007,0
PC 19710008,0
PC 19710009,0
PC 19710010,0
PC 19710011,0
PC 19710012,0
PC 19710013,0
PC 19710014,0
PC 19710015,0
PC 19710016,0
PC 19710017,Animal
PC 19710018,0
PC 19710019,0
PC 19710020,0
PC 19710021,0
PC 19710022,0
PC 19710023,0
PC 19710024,0
PC 19710025,0
PC 19710026,0
PC 19710027,0
PC 19710028,0
PC 19710029,0
PC 19710030,0
PC 19710031,Gorgon
PC 19710032,0
PC 19710033,0
PC 19710034,Feline
PC 19710035,Feline
PC 19710036,Seated Figure
PC 19710036,Hair
PC 19710037,0
PC 19710038,0
PC 19710039,0
PC 19710040,0
PC 19710041,0
PC 19710042,0
PC 19710043,0
PC 19710044,0
PC 19710045,0
PC 19710046,0
PC 19710047,Dots
PC 19710047,Meander
PC 19710048,0
PC 19710049,0
PC 19710050,0
PC 19710051,Tongue
PC 19710051,Gorgon
PC 19710052,Rosette
PC 19710053,0
PC 19710054,0
PC 19710055,0
PC 19710056,0
PC 19710057,Stag
PC 19710057,Sphinx
PC 19710058,Guilloche
PC 19710059,Guilloche
PC 19710060,0
PC 19710061,0
PC 19710062,0
PC 19710063,0
PC 19710064,0
PC 19710065,0
PC 19710066,0
PC 19710067,0
PC 19710068,0
PC 19710069,0
PC 19710070,0
PC 19710071,0
PC 19710072,0
PC 19710073,0
PC 19710074,0
PC 19710075,0
PC 19710076,0
PC 19710077,0
PC 19710078,0
PC 19710079,0
PC 19710080,0
PC 19710081,0
PC 19710082,0
PC 19710083,Sphinx
PC 19710083,Stag
PC 19710084,0
PC 19710085,0
PC 19710086,0
PC 19710087,0
PC 19710088,0
PC 19710089,0
PC 19710090,0
PC 19710091,Feline
PC 19710092,Ram
PC 19710092,Duck
PC 19710092,Notches
PC 19710093,Volute
PC 19710093,Meander
PC 19710094,0
PC 19710095,0
PC 19710096,0
PC 19710097,0
PC 19710098,Figure
PC 19710099,0
PC 19710100,Female
PC 19710101,Griffin
PC 19710102,Tongue
PC 19710102,Gorgon
PC 19710103,Circles
PC 19710103,Flower
PC 19710104,0
PC 19710105,Wrestler
PC 19710106,Umpire
PC 19710107,0
PC 19710108,0
PC 19710109,0
PC 19710110,0
PC 19710111,Circles
PC 19710111,Dots
PC 19710112,0
PC 19710113,0
PC 19710114,0
PC 19710115,0
PC 19710116,0
PC 19710117,0
PC 19710118,0
PC 19710119,0
PC 19710120,0
PC 19710121,0
PC 19710122,0
PC 19710123,0
PC 19710124,0
PC 19710125,0
PC 19710126,Duck
PC 19710127,Notches
PC 19710128,0
PC 19710129,Notches
PC 19710130,Notches
PC 19710131,0
PC 19710132,Circles
PC 19710132,Guilloche
PC 19710133,0
PC 19710134,0
PC 19710135,0
PC 19710136,0
PC 19710137,0
PC 19710138,0
PC 19710139,0
PC 19710140,0
PC 19710141,0
PC 19710142,0
PC 19710143,0
PC 19710144,0
PC 19710145,0
PC 19710146,0
PC 19710147,0
PC 19710148,0
PC 19710149,0
PC 19710150,0
PC 19710151,0
PC 19710152,0
PC 19710153,Gorgon
PC 19710154,Gorgon
PC 19710155,Gorgon
PC 19710156,0
PC 19710157,0
PC 19710158,Rosette
PC 19710158,Feline
PC 19710159,0
PC 19710160,0
PC 19710161,Hair
PC 19710161,Seated Figure
PC 19710162,Feline
PC 19710163,0
PC 19710164,0
PC 19710165,0
PC 19710166,0
PC 19710167,0
PC 19710168,0
PC 19710169,0
PC 19710170,Meander
PC 19710171,Circles
PC 19710172,0
PC 19710173,0
PC 19710174,0
PC 19710175,0
PC 19710176,0
PC 19710177,0
PC 19710178,0
PC 19710179,0
PC 19710180,0
PC 19710181,0
PC 19710182,0
PC 19710183,0
PC 19710184,0
PC 19710185,0
PC 19710186,0
PC 19710187,0
PC 19710188,0
PC 19710189,Flower
PC 19710190,0
PC 19710191,0
PC 19710192,Rosette
PC 19710193,0
PC 19710194,0
PC 19710195,0
PC 19710196,0
PC 19710197,0
PC 19710198,Sphinx
PC 19710198,Bean
PC 19710199,Feline
PC 19710200,Animal
PC 19710200,Feline
PC 19710201,0
PC 19710202,0
PC 19710203,0
PC 19710204,0
PC 19710205,Female
PC 19710206,0
PC 19710207,Animal
PC 19710208,0
PC 19710209,Rosette
PC 19710210,0
PC 19710211,Gorgon
PC 19710212,0
PC 19710213,0
PC 19710214,0
PC 19710215,Rosette
PC 19710216,0
PC 19710217,Gorgon
PC 19710218,0
PC 19710219,0
PC 19710220,Meander
PC 19710221,0
PC 19710222,0
PC 19710223,0
PC 19710224,Quadruped
PC 19710224,Circles
PC 19710225,0
PC 19710226,0
PC 19710227,Female
PC 19710227,Seated Figure
PC 19710228,Seated Figure
PC 19710229,Procession
PC 19710230,0
PC 19710231,0
PC 19710232,Dots
PC 19710233,0
PC 19710234,0
PC 19710235,0
PC 19710236,0
PC 19710237,0
PC 19710238,Stag
PC 19710239,0
PC 19710240,0
PC 19710241,0
PC 19710242,0
PC 19710243,0
PC 19710244,0
PC 19710245,0
PC 19710246,Animal
PC 19710246,Feline
PC 19710247,Feline
PC 19710248,0
PC 19710249,0
PC 19710250,0
PC 19710251,0
PC 19710252,0
PC 19710253,0
PC 19710254,0
PC 19710255,0
PC 19710256,0
PC 19710257,0
PC 19710258,Stag
PC 19710258,Animal
PC 19710258,Volute
PC 19710259,Flower
PC 19710259,Cross-Hatched
PC 19710259,Lotus
PC 19710260,0
PC 19710261,0
PC 19710262,0
PC 19710263,0
PC 19710264,0
PC 19710265,0
PC 19710266,0
PC 19710267,0
PC 19710268,Circles
PC 19710269,0
PC 19710270,0
PC 19710271,0
PC 19710272,0
PC 19710273,0
PC 19710274,0
PC 19710275,0
PC 19710276,0
PC 19710277,Dots
PC 19710277,Guilloche
PC 19710278,0
PC 19710279,0
PC 19710280,Animal
PC 19710280,Bean
PC 19710280,Sphinx
PC 19710281,Bird
PC 19710281,Duck
PC 19710282,0
PC 19710283,Lotus
PC 19710284,0
PC 19710285,Tongue
PC 19710285,Gorgon
PC 19710286,Tongue
PC 19710286,Gorgon
PC 19710287,Gorgon
PC 19710288,Gorgon
PC 19710289,Gorgon
PC 19710289,Tongue
PC 19710290,Tongue
PC 19710290,Gorgon
PC 19710291,0
PC 19710292,0
PC 19710293,0
PC 19710294,0
PC 19710295,Seated Figure
PC 19710296,0
PC 19710297,0
PC 19710298,0
PC 19710299,0
PC 19710300,0
PC 19710301,0
PC 19710302,Horse Race
PC 19710303,0
PC 19710304,0
PC 19710305,0
PC 19710306,0
PC 19710307,Seated Figure
PC 19710307,Meander
PC 19710308,0
PC 19710309,0
PC 19710310,0
PC 19710311,0
PC 19710312,0
PC 19710313,0
PC 19710314,Seated Figure
PC 19710315,0
PC 19710316,0
PC 19710317,0
PC 19710318,0
PC 19710319,0
PC 19710320,0
PC 19710321,0
PC 19710322,0
PC 19710323,0
PC 19710324,0
PC 19710325,0
PC 19710326,0
PC 19710327,0
PC 19710328,0
PC 19710329,0
PC 19710330,0
PC 19710331,0
PC 19710332,0
PC 19710333,0
PC 19710334,Geometric
PC 19710335,0
PC 19710336,0
PC 19710337,0
PC 19710338,0
PC 19710339,0
PC 19710340,0
PC 19710341,Palmette
PC 19710342,0
PC 19710343,0
PC 19710344,0
PC 19710345,0
PC 19710346,Circles
PC 19710347,0
PC 19710348,0
PC 19710349,0
PC 19710350,0
PC 19710351,0
PC 19710352,0
PC 19710353,0
PC 19710354,0
PC 19710355,0
PC 19710356,0
PC 19710357,0
PC 19710358,0
PC 19710359,0
PC 19710360,0
PC 19710361,0
PC 19710362,0
PC 19710363,0
PC 19710364,0
PC 19710365,Panther
PC 19710365,Feline
PC 19710365,Animal
PC 19710366,0
PC 19710367,0
PC 19710368,0
PC 19710369,0
PC 19710370,0
PC 19710371,Feline
PC 19710372,Potnia Theron
PC 19710373,0
PC 19710374,0
PC 19710375,0
PC 19710376,0
PC 19710377,0
PC 19710378,Circles
PC 19710379,0
PC 19710380,0
PC 19710381,0
PC 19710382,Circles
PC 19710383,0
PC 19710384,0
PC 19710385,Dots
PC 19710386,Panther
PC 19710386,Feline
PC 19710387,0
PC 19710388,0
PC 19710389,0
PC 19710390,0
PC 19710391,Female
PC 19710392,Gorgon
PC 19710393,Lion
PC 19710393,Animal
PC 19710394,0
PC 19710395,0
PC 19710396,0
PC 19710397,0
PC 19710398,0
PC 19710399,0
PC 19710400,0
PC 19710401,Seated Figure
PC 19710402,Seated Figure
PC 19710403,Seated Figure
PC 19710404,0
PC 19710405,0
PC 19710406,0
PC 19710407,0
PC 19710408,0
PC 19710409,0
PC 19710410,0
PC 19710411,0
PC 19710412,0
PC 19710413,0
PC 19710414,0
PC 19710415,0
PC 19710416,0
PC 19710417,0
PC 19710418,0
PC 19710419,0
PC 19710420,0
PC 19710421,0
PC 19710422,0
PC 19710423,0
PC 19710424,0
PC 19710425,0
PC 19710426,Gorgon
PC 19710427,Gorgon
PC 19710428,Gorgon
PC 19710429,Gorgon
PC 19710430,Gorgon
PC 19710431,Gorgon
PC 19710432,Gorgon
PC 19710433,Gorgon
PC 19710434,Tongue
PC 19710434,Gorgon
PC 19710435,Gorgon
PC 19710436,Gorgon
PC 19710437,Gorgon
PC 19710438,Gorgon
PC 19710439,Gorgon
PC 19710440,Hair
PC 19710440,Seated Figure
PC 19710441,Hair
PC 19710442,Hair
PC 19710443,Flower
PC 19710444,0
PC 19710445,0
PC 19710446,0
PC 19710447,0
PC 19710448,Horse Race
PC 19710449,0
PC 19710450,0
PC 19710451,0
PC 19710452,0
PC 19710453,0
PC 19710454,0
PC 19710455,0
PC 19710456,0
PC 19710457,0
PC 19710458,0
PC 19710459,0
PC 19710460,0
PC 19710461,0
PC 19710462,0
PC 19710463,0
PC 19710464,0
PC 19710465,0
PC 19710466,0
PC 19710467,0
PC 19710468,0
PC 19710469,0
PC 19710470,0
PC 19710471,0
PC 19710472,Rosette
PC 19710473,Palmette
PC 19710474,0
PC 19710475,0
PC 19710476,0
PC 19710477,0
PC 19710478,Circles
PC 19710479,Deer
PC 19710480,Dots
PC 19710481,0
PC 19710482,0
PC 19710483,0
PC 19710484,Sphinx
PC 19710485,0
PC 19710486,Rosette
PC 19710487,0
PC 19710488,0
PC 19710489,0
PC 19710490,Potnia Theron
PC 19710490,Feline
PC 19710491,0
PC 19710492,0
PC 19710493,Circles
PC 19710494,0
PC 19710495,0
PC 19710496,Seated Figure
PC 19710497,0
PC 19710498,0
PC 19710499,Circles
PC 19710500,Lion
PC 19710501,0
PC 19710502,0
PC 19710503,0
PC 19710504,0
PC 19710505,0
PC 19710506,0
PC 19710507,0
PC 19710508,Animal
PC 19710509,Animal
PC 19710510,0
PC 19710511,Guilloche
PC 19710511,Banquet
PC 19710512,Gorgon
PC 19710513,0
PC 19710514,Gorgon
PC 19710515,Palmette
PC 19710516,Gorgon
PC 19710517,Gorgon
PC 19710518,Circles
PC 19710519,Gorgon
PC 19710520,Gorgon
PC 19710521,0
PC 19710522,0
PC 19710523,0
PC 19710524,Circles
PC 19710525,Gorgon
PC 19710526,Gorgon
PC 19710527,Circles
PC 19710528,Gorgon
PC 19710529,Gorgon
PC 19710530,Gorgon
PC 19710531,Gorgon
PC 19710532,Gorgon
PC 19710533,Volute
PC 19710533,Bean
PC 19710534,Bean
PC 19710535,Bean
PC 19710536,Bean
PC 19710536,Volute
PC 19710537,Volute
PC 19710537,Bean
PC 19710537,Circles
PC 19710538,Bean
PC 19710539,0
PC 19710540,0
PC 19710541,0
PC 19710542,0
PC 19710543,Bean
PC 19710543,Volute
PC 19710544,Geometric
PC 19710545,0
PC 19710546,0
PC 19710547,0
PC 19710548,Circles
PC 19710549,0
PC 19710550,Seated Figure
PC 19710551,Bean
PC 19710552,Bean
PC 19710553,Gorgon
PC 19710553,Tongue
PC 19710554,0
PC 19710555,0
PC 19710556,Hair
PC 19710557,0
PC 19710558,Animal
PC 19710558,Seated Figure
PC 19710558,Feline
PC 19710559,Volute
PC 19710560,Potnia Theron
PC 19710561,Female
PC 19710561,Potnia Theron
PC 19710562,Female
PC 19710563,Female
PC 19710564,Dots
PC 19710565,0
PC 19710566,Rosette
PC 19710567,0
PC 19710568,0
PC 19710569,Potnia Theron
PC 19710569,Panther
PC 19710570,0
PC 19710571,Gorgon
PC 19710572,0
PC 19710573,0
PC 19710574,0
PC 19710575,0
PC 19710576,0
PC 19710577,Feline
PC 19710578,0
PC 19710579,0
PC 19710580,0
PC 19710581,0
PC 19710582,0
PC 19710583,Female
PC 19710583,Banquet
PC 19710584,Guilloche
PC 19710584,Banquet
PC 19710585,0
PC 19710586,0
PC 19710587,Guilloche
PC 19710587,Banquet
PC 19710588,0
PC 19710589,0
PC 19710590,0
PC 19710591,0
PC 19710592,Circles
PC 19710593,0
PC 19710594,Animal
PC 19710594,Quadruped
PC 19710595,Circles
PC 19710596,0
PC 19710597,0
PC 19710598,Dots
PC 19710599,0
PC 19710600,0
PC 19710601,0
PC 19710602,0
PC 19710603,0
PC 19710604,Animal
PC 19710605,0
PC 19710606,0
PC 19710607,0
PC 19710608,Lotus
PC 19710609,0
PC 19710610,0
PC 19710611,0
PC 19710612,0
PC 19710613,0
PC 19710614,0
PC 19710615,0
PC 19710616,Female
PC 19710617,Circles
PC 19710618,0
PC 19710619,0
PC 19710620,0
PC 19710621,0
PC 19710622,0
PC 19710623,0
PC 19710624,0
PC 19710625,0
PC 19710626,0
PC 19710627,0
PC 19710628,0
PC 19710629,0
PC 19710630,0
PC 19710631,Animal
PC 19710632,Sphinx
PC 19710632,Notches
PC 19710632,Bean
PC 19710633,Animal
PC 19710634,Animal
PC 19710634,Tongue
PC 19710635,0
PC 19710636,Female
PC 19710636,Figure
PC 19710637,0
PC 19710638,Animal
PC 19710639,Tongue
PC 19710639,Animal
PC 19710640,0
PC 19710641,0
PC 19710642,0
PC 19710643,0
PC 19710644,0
PC 19710645,0
PC 19710646,0
PC 19710647,0
PC 19710648,0
PC 19710649,0
PC 19710650,0
PC 19710651,0
PC 19710652,0
PC 19710653,Lotus
PC 19710654,Lotus
PC 19710655,Lotus
PC 19710655,Flower
PC 19710656,Flower
PC 19710656,Lotus
PC 19710657,Flower
PC 19710657,Lotus
PC 19710658,Lotus
PC 19710659,0
PC 19710660,0
PC 19710661,0
PC 19710662,0
PC 19710663,0
PC 19710664,0
PC 19710665,0
PC 19710666,0
PC 19710667,Circles
