label,Motif,Decorative_Technique
PC 20000066,0,"[""Applique""]"
PC 20000081,"[""Circles""]","[""Incised"", ""Impressed""]"
PC 20000058,0,"[""Painted""]"
PC 19840060,0,0
PC 19840079,0,"[""Incised""]"
PC 20190037,0,"[""Incised""]"
PC 19870082,"[""Procession"", ""Animal"", ""Stag""]","[""Incised"", ""Stamped""]"
PC 20080242,0,0
PC 20070089,"[""Sphinx"", ""Quadruped""]","[""Stamped""]"
PC 20090162,"[""Circles""]","[""Stamped""]"
PC 19820110,"[""Circles""]","[""Stamped""]"
PC 19730298,0,"[""Molded""]"
PC 20190006,0,0
PC 20020069,"[""Gorgon""]",0
PC 19830070,"[""Feline""]",0
PC 19780097,0,"[""Painted""]"
PC 20020046,0,0
PC 20000128,0,"[""Fenestrated""]"
PC 19870015,0,"[""Fluted""]"
PC 19890070,0,"[""Incised""]"
PC 19890061,0,"[""Incised"", ""Stamped""]"
PC 19970008,0,"[""Ridged""]"
PC 20150053,"[""Banquet"", ""Figure"", ""Guilloche""]","[""Relief""]"
PC 19740012,0,"[""Ridged"", ""Incised""]"
PC 19850102,"[""Tongue""]","[""Incised"", ""Relief""]"
PC 19820091,0,"[""Incised""]"
PC 19780121,0,"[""Stamped""]"
VdM20175009,0,"[""Painted""]"
PC 19870127,0,"[""Inscribed""]"
PC 20000051,"[""Circles""]","[""Painted""]"
PC 19990051,"[""Lotus"", ""Palmette"", ""Sphinx""]","[""Roulette"", ""Stamped""]"
PC 20040071,0,"[""Incised"", ""Stamped""]"
PC 20000009,0,0
PC 19730273,"[""Female""]","[""Incised"", ""Molded""]"
PC 19870019,0,0
PC 20020033,0,"[""Incised"", ""Stippled""]"
PC 20000029,"[""Palmette""]",0
PC 20000075,"[""Circles""]","[""Painted""]"
PC 19850116,0,0
PC 19870065,0,"[""Stamped""]"
PC 20000124,0,0
PC 19820035,0,"[""Inscribed""]"
PC 19850132,"[""Guilloche"", ""Circles""]","[""Incised""]"
PC 20070139,"[""Quadruped""]","[""Stamped""]"
PC 20020052,0,0
PC 19710821,0,"[""Incised""]"
PC 20000135,0,0
PC 19850084,0,"[""Incised""]"
PC 19800087,0,0
PC 19890080,"[""Circles""]","[""Stamped""]"
PC 19920034,0,"[""Pierced""]"
PC 20020014,0,"[""Painted""]"
PC 19850016,0,"[""Stamped""]"
PC 20000062,0,0
PC 20170003,0,"[""Stamped""]"
PC 20000053,0,0
PC 20070125,"[""Bucrania""]","[""Pierced""]"
PC 19900097,0,0
PC 20070112,"[""Quadruped""]","[""Stamped""]"
PC 19810060,0,"[""Incised""]"
PC 20070136,"[""Lotus"", ""Palmette""]","[""Molded""]"
PC 20000013,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 20070248,"[""Guilloche""]",0
PC 20050132,0,"[""Incised"", ""Inscribed""]"
PC 19880128,0,0
PC 19840045,"[""Rosette""]","[""Stamped""]"
PC 19850028,"[""Palmette""]","[""Impressed"", ""Stamped""]"
PC 20000101,0,0
PC 19840033,0,"[""Fluted""]"
PC 19970015,"[""Circles""]","[""Incised"", ""Impressed""]"
PC 19750078,0,"[""Incised"", ""Painted""]"
PC 19820121,0,0
PC 19870022,0,"[""Incised""]"
PC 19710498,0,"[""Incised""]"
PC 20090211,0,"[""Inscribed"", ""Incised"", ""Letters""]"
PC 20120219,"[""Circles""]","[""Stamped""]"
PC 20040148,"[""Circles""]","[""Scalloped"", ""Stamped""]"
PC 19990100,0,0
PC 20030123,"[""Female""]","[""Incised""]"
PC 19710584,"[""Banquet"", ""Guilloche""]",0
VdM20175031,0,"[""Painted""]"
PC 20000004,"[""Guilloche"", ""Animal""]","[""Relief""]"
PC 19820114,"[""Geometric""]",0
PC 19850038,"[""Dots""]",0
PC 19730316,"[""Circles""]","[""Incised""]"
PC 19860075,0,0
PC 20030053,0,0
PC 19850034,"[""Circles""]","[""Stamped""]"
PC 20190011,"[""Deer"", ""Quadruped""]","[""Stamped""]"
VdM20175017,0,"[""Painted""]"
PC 19840019,"[""Animal"", ""Quadruped"", ""Stag""]","[""Stamped"", ""Relief""]"
PC 20080089,"[""Flower"", ""Palmette"", ""Lotus""]","[""Stamped""]"
PC 20110002,0,0
PC 19680483,"[""Meander""]","[""Painted""]"
PC 19870126,0,0
PC 19870103,0,"[""Incised"", ""Fluted""]"
PC 19730318,"[""Seated Figure""]","[""Incised"", ""Molded"", ""Relief""]"
PC 19850014,0,"[""Inscribed""]"
PC 20000133,"[""Animal""]",0
PC 20070097,"[""Stag"", ""Sphinx""]","[""Roulette"", ""Stamped""]"
PC 19980151,0,"[""Incised""]"
PC 20180072,"[""Female"", ""Figure"", ""Hair"", ""Potnia Theron""]","[""Molded""]"
PC 19970179,"[""Dots""]","[""Stamped"", ""Stippled""]"
PC 20020003,0,0
PC 20150075,"[""Seated Figure""]","[""Relief""]"
PC 19730076,"[""Tongue""]","[""Incised""]"
PC 19890017,"[""Circles""]",0
VdM 20060197,"[""Figure"", ""Female""]","[""Beveled""]"
PC 20000114,0,"[""Incised"", ""Painted""]"
PC 20190012,"[""Geometric""]","[""Incised""]"
PC 19710515,"[""Palmette""]","[""Stamped""]"
PC 19840071,0,0
PC 19930031,0,"[""Incised""]"
PC 20000067,"[""Banquet""]","[""Painted""]"
PC 20190094,"[""Animal"", ""Figure"", ""Geometric"", ""Quadruped"", ""Triangular""]","[""Incised"", ""Ribbed"", ""Stamped""]"
PC 20190030,"[""Horse Race""]","[""Molded""]"
PC 19990015,0,"[""Incised"", ""Inscribed""]"
PC 20030133,"[""Feline"", ""Vegetal""]","[""Stamped""]"
PC 20010043,"[""Griffin""]","[""Stamped""]"
PC 19700060,"[""Volute"", ""Dots""]","[""Incised"", ""Pierced""]"
PC 20000045,"[""Feline""]",0
PC 20150054,"[""Feline"", ""Female"", ""Hair"", ""Rosette""]","[""Applique"", ""Incised""]"
PC 19710546,0,"[""Incised"", ""Molded""]"
PC 19790259,0,0
PC 20190003,0,0
PC 19810149,"[""Quadruped""]",0
PC 19810061,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 20190025,"[""Geometric""]","[""Beveled"", ""Molded"", ""Ridged""]"
PC 19800202,0,"[""Impressed""]"
PC 20030050,"[""Female""]","[""Applique""]"
PC 19870086,0,0
PC 20000057,0,"[""Impressed"", ""Painted""]"
PC 19870053,0,"[""Incised"", ""Letters"", ""Relief""]"
VdM20175018,0,"[""Incised""]"
PC 20020008,0,0
PC 19790281,"[""Rosette""]",0
VdM20175012,0,"[""Painted""]"
PC 19850114,0,0
PC 19660176,0,0
PC 20040090,"[""Bird""]","[""Incised""]"
PC 19940051,0,0
PC 19870124,0,0
PC 19730284,"[""Potnia Theron""]",0
PC 20000024,0,"[""Stamped""]"
PC 20040034,0,0
PC 19840146,0,"[""Incised""]"
PC 19770032,0,"[""Incised""]"
PC 19830067,"[""Feline""]",0
PC 19920074,0,0
PC 19820029,0,0
PC 19820008,0,"[""Stamped""]"
PC 19990040,"[""Animal"", ""Quadruped""]","[""Roulette""]"
PC 19940173,0,0
PC 19850078,0,"[""Incised""]"
PC 19850008,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 19710017,"[""Animal""]",0
PC 19830009,0,0
PC 20070259,0,0
PC 20000079,0,0
PC 19710447,0,"[""Incised"", ""Stippled""]"
PC 19810078,"[""Flower""]","[""Stamped""]"
PC 20050166,0,0
PC 20070133,0,"[""Stamped""]"
PC 19850152,0,0
PC 20000084,0,"[""Cavetto""]"
PC 20120188,0,0
PC 19790038,"[""Chevron""]","[""Incised""]"
PC 19820153,"[""Feline""]",0
PC 19990086,"[""Feline"", ""Animal"", ""Quadruped""]","[""Roulette"", ""Stamped""]"
PC 20080146,"[""Lotus"", ""Palmette""]","[""Incised"", ""Stamped""]"
PC 19970186,"[""Circles""]","[""Incised""]"
PC 19970097,"[""Seated Figure""]",0
PC 19710344,0,"[""Incised"", ""Letters"", ""Inscribed""]"
PC 19720181,0,"[""Stamped"", ""Molded""]"
PC 19850026,"[""Volute""]",0
PC 19660121,0,0
PC 19800100,0,0
PC 20090272,"[""Chevron""]","[""Incised"", ""Inscribed""]"
PC 19840144,0,0
PC 20070344,0,0
PC 20070292,"[""Procession""]","[""Stamped""]"
PC 20020016,0,0
PC 19950014,0,0
PC 20090213,0,"[""Stamped""]"
PC 20010002,0,"[""Painted""]"
VdM20175023,0,"[""Painted""]"
PC 20000038,0,"[""Cavetto""]"
VdM 20060171,0,"[""Incised"", ""Letters"", ""Inscribed""]"
PC 19720034,0,"[""Incised""]"
PC 20100062,0,0
PC 19710839,0,0
PC 20120207,"[""Gorgon"", ""Hair""]","[""Relief""]"
PC 19990052,"[""Lotus"", ""Palmette"", ""Sphinx""]","[""Stamped""]"
PC 19870128,0,0
PC 20000131,0,0
PC 19680348,"[""Banquet"", ""Guilloche""]",0
PC 20070279,0,0
PC 19860073,0,"[""Incised""]"
PC 20000103,0,"[""Ridged""]"
PC 19830035,0,"[""Painted""]"
PC 20000048,"[""Horse Race""]",0
PC 20090253,0,"[""Stamped""]"
PC 19730258,"[""Female""]","[""Incised"", ""Relief""]"
PC 20020019,0,"[""Pierced""]"
PC 19900002,"[""Circles""]","[""Stamped""]"
PC 19710587,"[""Banquet"", ""Guilloche""]",0
PC 20190042,0,0
PC 19890164,"[""Dots""]","[""Stippled""]"
PC 19710051,"[""Gorgon"", ""Tongue""]","[""Incised"", ""Molded"", ""Relief""]"
PC 20180010,0,0
PC 19690068,0,"[""Stamped""]"
PC 20040011,"[""Guilloche""]","[""Cavetto""]"
PC 20090247,0,0
PC 20050063,"[""Potnia Theron"", ""Braid""]","[""Incised""]"
PC 20120164,0,"[""Incised""]"
PC 20000063,0,"[""Painted""]"
PC 19870084,"[""Procession"", ""Animal"", ""Female""]","[""Incised"", ""Stamped""]"
PC 19950088,"[""Circles""]","[""Stamped""]"
PC 20130038,0,"[""Inscribed""]"
PC 19830049,0,"[""Stamped""]"
PC 19700153,"[""Circles""]","[""Molded""]"
PC 19700228,0,"[""Painted""]"
VdM 20165065,"[""Palmette""]","[""Impressed""]"
PC 19780216,0,"[""Incised""]"
PC 19970014,0,0
VdM 20060231,0,0
PC 19700249,"[""Seated Figure""]",0
PC 20120113,0,"[""Incised""]"
PC 19880109,0,0
PC 20030084,0,"[""Stippled""]"
PC 20000107,0,0
PC 20000059,0,0
PC 20000072,0,0
PC 19780108,0,"[""Impressed""]"
PC 19990066,0,0
PC 19890068,0,"[""Molded""]"
PC 19870063,0,"[""Incised""]"
PC 20010008,0,0
PC 19800133,0,"[""Stamped""]"
PC 19990001,"[""Guilloche""]",0
PC 19900082,0,"[""Incised"", ""Relief""]"
PC 19730223,"[""Guilloche""]","[""Stamped""]"
PC 20120119,0,0
PC 19970162,"[""Lotus"", ""Palmette""]","[""Incised""]"
PC 20100045,0,"[""Stamped""]"
PC 19700179,0,0
PC 19820097,0,"[""Incised""]"
PC 19940037,0,0
PC 20030079,"[""Stag""]","[""Stamped""]"
PC 20080175,0,0
VdM 20060184,0,"[""Incised""]"
PC 20140143,0,0
PC 19730221,"[""Circles""]","[""Incised""]"
PC 19690137,0,0
PC 20190016,"[""Geometric""]","[""Incised"", ""Ridged""]"
PC 19730054,0,0
PC 20150008,0,"[""Incised""]"
PC 20000108,0,"[""Ridged""]"
PC 20070024,0,0
PC 19870073,0,"[""Incised""]"
PC 19880173,0,0
PC 20000125,0,0
PC 19810136,0,"[""Impressed""]"
PC 20000099,0,"[""Incised""]"
PC 20080011,"[""Guilloche""]","[""Incised""]"
VdM 20060176,0,"[""Incised""]"
PC 19880047,0,0
PC 20030114,0,0
PC 20000064,0,0
PC 20120133,"[""Guilloche""]","[""Relief""]"
PC 19870044,0,0
PC 19990097,"[""Horse Race"", ""Guilloche""]",0
PC 19690108,"[""Horse Race"", ""Guilloche""]","[""Painted""]"
PC 19810187,0,0
PC 19760181,"[""Dots""]","[""Incised""]"
PC 19770073,"[""Caryatid"", ""Dots"", ""Volute""]","[""Incised""]"
PC 19710636,"[""Female"", ""Figure""]","[""Inscribed"", ""Incised""]"
PC 19970183,0,"[""Reticulated"", ""Incised""]"
PC 20190024,"[""Geometric""]","[""Incised""]"
PC 20040184,0,"[""Incised""]"
PC 20180011,0,0
PC 19730127,0,"[""Incised""]"
PC 20070106,"[""Chevron""]","[""Incised""]"
PC 20070254,"[""Palmette""]","[""Stamped""]"
PC 20030032,0,0
PC 20020001,0,0
PC 19680200,"[""Bearded""]",0
PC 19840022,"[""Volute""]","[""Painted""]"
PC 20120143,"[""Gorgon"", ""Hair""]","[""Relief""]"
PC 20120233,"[""Banquet"", ""Figure"", ""Guilloche""]","[""Relief""]"
PC 20050078,0,"[""Incised""]"
PC 19710825,"[""Male""]","[""Incised"", ""Molded"", ""Impressed""]"
PC 19900023,0,0
PC 19720329,"[""Bean""]","[""Impressed"", ""Stamped"", ""Applique""]"
PC 19990019,0,"[""Cavetto""]"
PC 20020037,0,0
PC 19820099,0,0
PC 19720319,"[""Female""]","[""Relief"", ""Molded"", ""Incised""]"
PC 20020070,0,"[""Cavetto""]"
PC 20160053,0,0
PC 19710564,"[""Dots""]","[""Incised"", ""Impressed"", ""Relief""]"
PC 19790217,0,"[""Incised""]"
PC 19880116,0,"[""Inscribed""]"
VdM 20175050,0,0
PC 19880179,0,0
PC 19770048,"[""Volute""]","[""Stamped""]"
PC 19840041,0,0
PC 20000037,0,0
PC 20000025,0,"[""Incised""]"
PC 19830042,0,0
PC 19840017,0,"[""Incised""]"
PC 19890092,"[""Chevron""]","[""Incised""]"
PC 19890118,"[""Animal""]",0
PC 19730231,0,0
PC 20030137,0,"[""Inlay"", ""Incised""]"
PC 19870087,0,0
PC 19840100,0,0
PC 20090178,"[""Circles""]","[""Stamped""]"
PC 20130074,"[""Dots""]","[""Incised""]"
VdM 20060105,0,"[""Incised""]"
PC 19690159,"[""Seated Figure""]",0
PC 20080073,0,0
VdM20175022,0,"[""Painted""]"
PC 19890091,0,0
PC 19800121,0,"[""Inscribed""]"
PC 20120116,0,"[""Beveled""]"
PC 19760157,0,0
PC 20070293,0,"[""Scalloped"", ""Incised""]"
PC 20070186,0,"[""Painted""]"
PC 20130027,"[""Circles""]","[""Stamped""]"
PC 19970063,0,0
PC 19870052,"[""Potnia Theron""]","[""Incised""]"
PC 19810072,"[""Lotus""]",0
PC 20050091,"[""Volute""]",0
PC 19970052,0,"[""Incised""]"
PC 19790058,0,"[""Fluted""]"
PC 20000022,0,"[""Stamped""]"
VdM 20060106,0,0
PC 19840180,0,0
PC 19720166,"[""Quadruped""]","[""Stamped""]"
PC 19830095,0,"[""Painted""]"
PC 20020015,0,0
PC 20120218,0,0
PC 19990104,0,0
PC 19730278,"[""Female""]","[""Molded""]"
PC 20130129,0,0
PC 19820150,"[""Notches""]","[""Stamped""]"
PC 19700259,"[""Gorgon""]",0
PC 19920026,0,0
PC 19690107,"[""Banquet"", ""Guilloche""]","[""Pierced""]"
PC 20120112,"[""Gorgon"", ""Hair""]","[""Relief""]"
PC 19980161,0,0
PC 19710441,"[""Hair""]",0
PC 19860080,0,0
PC 19780128,0,0
PC 20000120,0,"[""Incised""]"
PC 19890077,0,0
PC 20120204,"[""Triangular""]","[""Incised"", ""Molded""]"
PC 19710565,0,"[""Painted""]"
PC 20090248,"[""Dots""]","[""Incised""]"
PC 20120175,"[""Gorgon"", ""Hair""]","[""Relief""]"
PC 20130144,0,0
PC 19930049,0,"[""Incised""]"
PC 19760163,0,0
PC 20020020,"[""Sphinx"", ""Feline""]","[""Stamped"", ""Relief""]"
PC 19820033,0,"[""Stamped""]"
PC 19740014,"[""Guilloche""]","[""Molded""]"
PC 20150073,"[""Procession""]","[""Relief""]"
PC 20120224,0,0
PC 19730271,0,"[""Molded""]"
PC 19870096,0,0
PC 20050018,0,"[""Painted""]"
PC 20000117,0,0
PC 19840074,0,0
PC 19700266,"[""Feline""]",0
PC 19830012,0,"[""Painted""]"
PC 19890127,0,0
PC 19820119,0,"[""Molded""]"
PC 20030107,0,"[""Incised""]"
PC 20010093,0,0
PC 19711027,0,0
PC 19980123,"[""Stag""]","[""Roulette"", ""Stamped""]"
PC 19760167,"[""Rosette"", ""Palmette""]",0
PC 20000068,"[""Circles""]","[""Incised"", ""Stamped""]"
VdM 20060131,0,0
PC 20080205,0,0
PC 19990026,0,"[""Molded""]"
PC 19980156,0,0
PC 20000046,"[""Banquet"", ""Circles"", ""Guilloche""]","[""Painted""]"
PC 19920024,0,"[""Punched"", ""Fenestrated""]"
PC 20180012,0,0
PC 19730212,"[""Circles""]","[""Ridged"", ""Incised""]"
PC 19800046,0,"[""Pierced""]"
PC 19870057,"[""Palmette""]","[""Relief"", ""Molded"", ""Stamped""]"
PC 19890042,0,0
PC 19820174,0,0
PC 19860015,"[""Volute""]",0
PC 20070339,0,0
PC 20180006,0,0
PC 20120132,"[""Vegetal""]","[""Stamped""]"
PC 20010018,0,"[""Painted""]"
VdM20175007,0,"[""Painted""]"
PC 19710393,"[""Lion"", ""Animal""]","[""Painted"", ""Incised""]"
PC 20080213,0,0
PC 19810194,0,"[""Incised""]"
PC 20040002,0,"[""Incised"", ""Inscribed""]"
PC 19770094,"[""Palmette""]","[""Molded""]"
PC 20180063,0,0
PC 19970187,0,0
PC 20090147,0,0
PC 19810109,"[""Lotus""]","[""Incised""]"
PC 20020068,0,0
PC 20160068,"[""Figure"", ""Lotus""]","[""Incised"", ""Roulette"", ""Stamped""]"
PC 19970139,0,0
PC 19710792,0,0
PC 19730321,0,"[""Incised""]"
PC 19970013,0,"[""Impressed""]"
PC 20020078,0,0
PC 19720142,0,0
PC 19710360,0,"[""Molded""]"
PC 19760018,"[""Sphinx""]",0
PC 20030117,"[""Tongue""]","[""Incised""]"
PC 19970088,0,0
PC 19740015,"[""Bean""]","[""Applique""]"
PC 19970153,"[""Circles""]",0
PC 20090294,0,0
PC 20070126,"[""Lotus"", ""Palmette""]","[""Stamped""]"
PC 20090196,0,"[""Incised""]"
PC 19700282,"[""Animal"", ""Quadruped""]","[""Stamped""]"
PC 19840218,0,0
VdM 20060107,0,"[""Incised""]"
PC 20070175,0,0
PC 20130021,0,0
PC 20180064,0,0
PC 20000016,"[""Flower""]","[""Incised""]"
PC 20030102,0,"[""Cavetto""]"
PC 20130041,"[""Braid""]","[""Plastic""]"
PC 20020023,0,0
PC 19870081,0,0
PC 19730248,0,0
PC 19950120,0,0
PC 19710256,0,0
PC 19710102,"[""Tongue"", ""Gorgon""]","[""Relief"", ""Applique""]"
PC 19890015,0,0
PC 20150076,0,0
PC 19700347,"[""Flower"", ""Female"", ""Lotus""]","[""Incised"", ""Molded"", ""Relief""]"
PC 20120055,"[""Braid""]","[""Incised""]"
PC 19970067,0,0
PC 20130096,0,"[""Incised""]"
PC 19700335,0,0
PC 20070231,0,0
PC 20000082,"[""Procession"", ""Guilloche""]",0
PC 20050163,0,"[""Incised""]"
PC 19950128,"[""Circles""]","[""Stamped""]"
PC 20030155,0,"[""Finger Incised"", ""Beveled""]"
PC 19870021,0,0
PC 19770023,0,"[""Incised""]"
PC 20090233,0,0
PC 19730066,0,0
PC 20050041,"[""Bucrania""]","[""Pierced""]"
PC 20000006,0,"[""Impressed""]"
PC 19920068,0,0
PC 20120217,"[""Banquet""]","[""Relief""]"
PC 20180008,0,0
PC 20020007,0,0
PC 19710399,0,0
PC 19680568,"[""Seated Figure""]",0
PC 19930134,0,0
PC 20090102,0,"[""Incised"", ""Painted""]"
PC 20070034,0,"[""Ridged""]"
PC 19710495,0,"[""Painted""]"
PC 20030132,0,0
PC 19680326,"[""Seated Figure""]","[""Painted""]"
PC 20000002,0,0
PC 19730322,0,"[""Incised"", ""Impressed""]"
PC 19710066,0,0
PC 20120108,0,"[""Molded""]"
PC 20000150,"[""Gorgon""]",0
PC 20190020,"[""Lotus"", ""Palmette""]","[""Stamped""]"
PC 20170049,0,"[""Stamped""]"
PC 20030130,"[""Feline""]","[""Incised""]"
PC 19980033,0,"[""Incised""]"
PC 19850035,0,0
PC 20120177,0,"[""Beveled""]"
PC 19850093,0,"[""Incised""]"
PC 19870033,0,0
PC 19830052,0,"[""Stamped""]"
PC 20190038,0,0
PC 19710562,"[""Female""]","[""Relief""]"
PC 20070255,0,0
PC 19810139,"[""Rosette""]","[""Stamped""]"
PC 20090177,0,"[""Incised""]"
PC 20120142,0,"[""Molded""]"
PC 19770033,0,0
PC 20120095,"[""Volute""]","[""Relief""]"
PC 19970176,0,"[""Inscribed""]"
PC 20000042,0,0
PC 19750114,0,0
PC 19990032,0,0
PC 19830103,0,0
PC 19820027,"[""Feline""]",0
PC 19970128,0,"[""Incised"", ""Stamped""]"
PC 20030108,0,"[""Cavetto""]"
PC 20040116,"[""Feline""]",0
PC 19840047,0,0
PC 20120216,"[""Gorgon"", ""Hair""]","[""Relief""]"
PC 19750043,0,"[""Incised""]"
PC 20040066,0,0
VdM20175016,0,0
PC 19850117,"[""Triangular""]",0
PC 20120054,0,"[""Incised""]"
VdM 20060129,0,"[""Incised""]"
VdM 20175051,0,0
PC 20170065,0,0
PC 20090301,0,0
PC 20150044,"[""Guilloche"", ""Hair"", ""Horse Race""]","[""Relief""]"
PC 19880078,0,0
VdM 20060204,0,"[""Incised"", ""Applique""]"
PC 20190005,0,0
PC 20090297,0,0
VdM 20060034,0,"[""Incised""]"
PC 20120118,"[""Banquet"", ""Guilloche""]","[""Relief""]"
PC 19980168,0,0
