label,Motif,Decorative_Technique
PC 19790225,0,"[""Incised""]"
PC 19800160,0,0
PC 20150062,0,"[""Cavetto""]"
PC 19850065,0,0
PC 19980050,0,0
PC 19980141,0,"[""Incised""]"
PC 20130030,0,"[""Pierced""]"
PC 19760060,0,"[""Incised""]"
PC 20150061,0,0
PC 19840116,"[""Feline""]",0
PC 19680049,"[""Feline""]","[""Painted""]"
PC 19830082,"[""Volute""]",0
PC 19700068,"[""Bird""]",0
PC 19770289,"[""Seated Figure""]","[""Relief""]"
PC 19760007,0,"[""Incised""]"
PC 19710048,0,"[""Incised""]"
PC 19700318,"[""Flower""]","[""Molded""]"
PC 20160067,"[""Triangular""]","[""Incised""]"
PC 20030073,0,0
PC 20140092,"[""Rosette""]","[""Relief""]"
PC 20090129,0,"[""Ridged""]"
PC 20150048,"[""Circles""]","[""Stamped""]"
PC 20180057,0,"[""Fluted""]"
PC 19830040,0,"[""Incised""]"
PC 19970026,0,0
PC 19980174,0,0
PC 19710653,"[""Lotus""]","[""Incised""]"
PC 19730118,"[""Bean""]","[""Applique""]"
PC 19970182,0,0
PC 19680581,"[""Seated Figure""]","[""Relief""]"
PC 19720112,"[""Circles""]","[""Stamped""]"
PC 19770077,"[""Banquet"", ""Dots"", ""Guilloche""]","[""Cavetto"", ""Relief""]"
PC 20090045,0,"[""Scalloped""]"
PC 20110016,0,"[""Incised""]"
PC 19890069,"[""Tongue""]","[""Incised""]"
PC 19730089,"[""Guilloche""]","[""Molded""]"
PC 20150027,0,0
PC 19890171,0,"[""Impressed""]"
PC 20090107,0,0
PC 19760118,0,0
PC 20050017,0,"[""Pierced""]"
PC 20140105,0,"[""Incised""]"
VdM 20060154,0,0
PC 19680596,"[""Seated Figure""]",0
PC 19690119,"[""Sphinx""]",0
PC 19870027,0,"[""Relief"", ""Stamped""]"
PC 19970159,0,0
VdM 20165088,0,0
PC 19730220,0,0
PC 19830014,0,"[""Incised""]"
PC 19840063,0,"[""Incised""]"
PC 20040017,0,0
PC 20090229,0,"[""Ridged""]"
VdM 20155081,0,0
PC 20120185,0,0
PC 19760066,"[""Lotus"", ""Palmette""]","[""Impressed""]"
PC 20120192,0,0
PC 20070134,0,0
PC 20070056,0,"[""Cavetto""]"
PC 20070210,0,"[""Incised""]"
PC 19710189,"[""Flower""]","[""Painted""]"
PC 19760158,0,0
VdM 20165015,"[""Circles""]","[""Incised""]"
PC 19970004,0,0
PC 19970001,0,0
PC 19710095,0,0
PC 19720293,"[""Palmette""]","[""Molded""]"
PC 20050077,0,0
PC 20040122,0,0
PC 20010054,0,0
PC 19800110,"[""Circles""]","[""Stamped""]"
PC 20120196,0,0
PC 19820161,0,0
PC 19810218,"[""Gorgon""]",0
PC 19900092,0,0
PC 19940011,"[""Lion""]","[""Incised""]"
PC 20070327,0,"[""Incised""]"
PC 20170023,0,0
PC 19930053,0,"[""Impressed""]"
PC 19710375,0,"[""Impressed""]"
PC 20120144,0,0
PC 19930094,"[""Gorgon""]",0
PC 20010047,"[""Braid""]",0
PC 20020013,0,0
PC 19770097,"[""Circles""]","[""Stamped""]"
PC 20090032,"[""Braid""]",0
PC 19800097,0,"[""Fluted""]"
PC 19840024,"[""Feline""]",0
PC 20040166,0,"[""Pierced""]"
PC 19710655,"[""Lotus"", ""Flower""]","[""Incised""]"
PC 19700040,0,"[""Molded""]"
PC 19711021,0,0
PC 20130132,0,0
PC 20140065,"[""Rosette""]","[""Relief""]"
PC 20110096,0,"[""Ridged""]"
PC 20080017,0,"[""Incised""]"
PC 20000054,0,0
PC 19770151,0,0
PC 20120187,0,0
PC 20080076,0,"[""Ridged""]"
PC 19820130,0,"[""Incised""]"
PC 19690022,"[""Male""]","[""Incised""]"
PC 20050114,0,"[""Fenestrated""]"
PC 20030011,0,0
PC 19970098,0,0
PC 20030089,0,0
PC 19720069,0,"[""Finger Incised""]"
PC 19840093,0,"[""Painted""]"
PC 20130117,0,0
PC 20160013,0,0
PC 20130017,0,0
PC 20100092,0,"[""Stippled""]"
PC 20120008,0,0
PC 20000056,0,0
PC 20010026,0,0
PC 19680339,"[""Rosette""]","[""Painted""]"
PC 20070141,0,0
PC 19870017,0,0
PC 19920071,0,"[""Painted""]"
PC 19970081,0,"[""Ridged""]"
PC 19870047,0,0
PC 19710346,"[""Circles""]","[""Stamped""]"
PC 19980129,0,0
PC 20090275,"[""Banquet""]",0
VdM 20155065,0,0
PC 19660125,"[""Banquet""]",0
PC 19730124,0,0
VdM20175014,0,"[""Impressed""]"
PC 19720116,"[""Female""]","[""Molded""]"
PC 19870029,0,0
PC 20100088,0,0
PC 19680259,"[""Horse Race""]","[""Painted""]"
PC 20120156,0,0
PC 20030061,0,0
PC 20080171,0,"[""Incised"", ""Stamped""]"
PC 19770085,"[""Volute""]",0
PC 19680153,"[""Gorgon"", ""Tongue""]",0
PC 19840050,0,"[""Pierced""]"
PC 20000001,0,0
VdM 20155057,0,0
PC 20000134,0,0
PC 19880122,"[""Lotus"", ""Palmette""]","[""Stamped""]"
PC 20150047,0,"[""Incised""]"
PC 19690084,"[""Procession"", ""Female""]",0
PC 19710791,0,0
PC 20090152,0,0
PC 19940163,0,0
PC 20070104,"[""Feline""]",0
PC 19820135,0,"[""Painted""]"
PC 19680308,"[""Seated Figure""]","[""Painted""]"
PC 19780172,0,"[""Stamped""]"
PC 19680462,"[""Seated Figure""]",0
PC 20110006,0,"[""Ridged"", ""Fenestrated""]"
PC 19820188,0,0
PC 20020053,0,0
PC 20130118,0,0
VdM 20155082,0,0
PC 20140141,0,0
PC 20120149,0,0
PC 20030151,0,"[""Finger Incised""]"
VdM 20155004,0,0
PC 19950133,0,0
PC 19680493,"[""Palmette""]","[""Incised""]"
PC 20130217,"[""Dots""]","[""Stippled""]"
PC 19980111,0,0
PC 20090015,0,"[""Ridged""]"
PC 19860048,"[""Notches""]",0
PC 19720442,0,0
PC 19680562,0,0
PC 19990018,0,"[""Incised"", ""Inscribed""]"
PC 20110068,"[""Horse Race"", ""Guilloche""]",0
PC 19850064,0,0
PC 19680500,"[""Sphinx"", ""Bird"", ""Lion""]",0
PC 19820072,0,0
PC 20080183,0,"[""Painted""]"
PC 19940020,"[""Horse Race"", ""Guilloche""]",0
PC 19710020,0,"[""Relief"", ""Molded""]"
PC 19730312,0,"[""Incised"", ""Letters"", ""Inscribed""]"
PC 19700339,0,"[""Molded""]"
PC 19670169,"[""Banquet"", ""Guilloche""]",0
PC 20130098,0,0
VdM 20155093,0,0
PC 20010042,"[""Braid""]","[""Applique""]"
PC 19680365,"[""Banquet""]","[""Painted""]"
PC 19860003,"[""Lotus""]",0
PC 20030006,0,"[""Inlay"", ""Incised""]"
PC 20000069,0,0
PC 20080038,0,"[""Painted""]"
PC 19820157,0,0
PC 20040182,0,0
PC 20080204,0,"[""Fenestrated""]"
PC 20110093,0,"[""Beveled""]"
VdM20175020,0,0
PC 19710539,0,"[""Incised""]"
PC 20100036,0,0
PC 20100034,0,"[""Ridged""]"
PC 19800161,0,"[""Incised"", ""Painted""]"
PC 19680408,"[""Banquet""]","[""Painted""]"
PC 20110049,"[""Banquet""]",0
PC 20180015,0,0
PC 20130055,0,0
PC 19710271,0,0
PC 19810076,0,0
PC 19730044,"[""Bean""]","[""Applique""]"
PC 19710021,0,"[""Stamped""]"
PC 20040075,0,0
PC 19730137,0,"[""Pierced""]"
PC 19680306,"[""Seated Figure""]","[""Painted""]"
PC 19940007,"[""Procession"", ""Guilloche""]",0
PC 19840021,0,"[""Painted""]"
PC 19890115,0,"[""Cavetto""]"
PC 19680595,"[""Seated Figure""]",0
PC 19820026,0,0
PC 19890167,0,"[""Reticulated""]"
PC 19810079,0,"[""Fluted""]"
PC 20070274,"[""Lotus"", ""Palmette""]","[""Stamped""]"
PC 19710783,"[""Rosette"", ""Dots""]","[""Incised""]"
PC 20130049,0,0
VdM 20060035,0,"[""Incised""]"
PC 19940128,0,"[""Painted""]"
PC 20050148,0,0
PC 20080111,0,0
PC 20070269,0,0
PC 19830097,0,"[""Painted""]"
PC 19940004,0,0
PC 20080049,0,"[""Incised""]"
PC 19710462,0,"[""Impressed""]"
PC 19940043,0,"[""Cavetto""]"
PC 20170044,0,0
PC 19950046,0,"[""Inscribed"", ""Impressed""]"
PC 19820140,0,"[""Painted""]"
PC 19820002,0,"[""Painted""]"
PC 20140022,0,0
PC 20120089,0,0
PC 19840136,0,"[""Molded""]"
PC 19710781,0,"[""Incised"", ""Pierced""]"
PC 19790171,0,"[""Impressed""]"
PC 19680012,"[""Bird""]",0
PC 20130061,0,0
PC 19970117,0,0
PC 19770044,"[""Feline""]",0
PC 20130042,0,0
PC 20070055,0,0
PC 19720214,0,0
PC 20100078,0,0
PC 19710512,"[""Gorgon""]","[""Molded""]"
PC 19720135,0,"[""Finger Incised""]"
VdM 20165100,0,0
PC 20170046,0,0
PC 19820187,0,0
PC 20090179,0,"[""Incised"", ""Ridged""]"
PC 20050001,0,"[""Pierced""]"
VdM 20165086,0,0
PC 20090173,0,0
PC 20050117,0,0
PC 20070306,"[""Volute""]",0
PC 20050151,0,"[""Incised""]"
PC 20120045,0,0
PC 20050147,"[""Circles""]","[""Stamped""]"
PC 19940136,0,"[""Painted""]"
PC 19930017,0,"[""Impressed""]"
PC 20070077,0,0
PC 19710369,0,0
VdM 20060022,0,0
PC 20030008,0,0
PC 19980089,0,0
PC 20130256,0,0
PC 20070256,0,"[""Fenestrated""]"
PC 20130242,0,0
PC 19790091,0,"[""Incised""]"
PC 19840034,0,"[""Incised""]"
PC 19780112,"[""Female""]","[""Stamped""]"
VdM 20060086,0,0
PC 19990075,0,0
VdM 20155021,0,0
PC 20000055,0,0
PC 20010077,0,"[""Incised""]"
PC 20030026,0,0
PC 19980082,0,0
PC 20070343,0,"[""Incised""]"
PC 20140072,0,0
PC 20120151,0,0
PC 20040149,0,0
PC 19840044,0,0
PC 20070341,"[""Seated Figure""]",0
PC 20030153,0,"[""Finger Incised""]"
PC 20080048,0,"[""Stamped""]"
PC 20080223,0,0
PC 19730080,"[""Feline"", ""Panther""]","[""Relief""]"
PC 20130205,0,"[""Beveled""]"
PC 20070108,0,0
VdM 20155095,0,0
PC 19680260,"[""Horse Race""]","[""Painted""]"
PC 19710288,"[""Gorgon""]",0
PC 20050169,0,0
PC 19890135,"[""Gorgon""]","[""Painted""]"
PC 19850033,0,0
PC 19820045,0,0
PC 19680316,"[""Seated Figure""]","[""Painted""]"
PC 20070281,0,0
VdM 20165099,0,0
PC 19760147,0,0
PC 19790198,0,"[""Inscribed""]"
PC 20070054,0,"[""Cavetto""]"
PC 19680349,"[""Banquet""]","[""Painted""]"
PC 19720322,"[""Female""]",0
PC 20090112,"[""Braid""]",0
PC 20100048,0,0
PC 20070016,0,"[""Incised""]"
PC 20170021,0,"[""Molded""]"
PC 19810201,0,0
PC 19980127,0,0
PC 20190116,"[""Circles""]","[""Slipped""]"
PC 19750014,"[""Lion"", ""Animal"", ""Panther""]","[""Incised""]"
PC 20000113,0,"[""Ridged""]"
PC 20040025,0,0
PC 20010067,0,"[""Painted"", ""Cavetto""]"
PC 20130124,0,"[""Incised""]"
PC 20080075,0,0
PC 20010079,0,0
PC 20070319,0,"[""Ridged"", ""Impressed""]"
PC 20130066,0,0
PC 19710258,"[""Animal"", ""Stag"", ""Volute""]","[""Incised""]"
PC 19910030,"[""Gorgon""]",0
PC 19870140,0,0
PC 20140009,0,0
PC 20040058,0,"[""Incised"", ""Stamped""]"
VdM 20060004,0,0
PC 19880054,0,"[""Cavetto""]"
PC 19800181,0,0
PC 19700140,0,"[""Incised""]"
PC 19980085,0,0
PC 20130018,0,0
PC 19740007,0,"[""Pierced""]"
PC 19840183,0,"[""Beveled"", ""Inlay""]"
PC 19680347,"[""Banquet""]",0
PC 19660052,"[""Horse""]","[""Cavetto""]"
PC 19990005,0,0
PC 20190057,0,0
VdM 20060148,0,0
PC 19720129,0,"[""Incised""]"
PC 19680620,0,0
PC 20090131,0,0
PC 19950124,0,"[""Fenestrated""]"
PC 19970005,0,0
PC 19840073,"[""Volute""]",0
PC 19720287,"[""Flower"", ""Tongue""]","[""Incised""]"
PC 19890019,"[""Female""]",0
PC 19730129,0,0
PC 19770118,"[""Dots""]","[""Impressed""]"
PC 20000070,0,"[""Incised"", ""Painted""]"
VdM 20060158,"[""Palmette""]","[""Painted""]"
PC 20030121,0,0
PC 19710450,0,"[""Painted""]"
PC 19680225,"[""Gorgon""]","[""Incised""]"
PC 19840130,"[""Volute""]",0
PC 19770138,0,"[""Incised""]"
PC 19700413,0,"[""Painted""]"
PC 19840157,0,"[""Incised""]"
PC 20070294,0,"[""Stamped""]"
PC 20070271,0,"[""Ridged""]"
PC 20190015,0,0
PC 19800241,0,"[""Incised""]"
PC 19710508,"[""Animal""]",0
PC 20140011,0,0
PC 19830102,0,0
PC 20100024,0,0
PC 19860009,0,0
PC 19790201,0,"[""Incised"", ""Inscribed""]"
PC 20120013,0,0
PC 19720317,0,0
PC 19980076,0,0
PC 20110029,0,"[""Cavetto""]"
PC 19950053,0,"[""Cavetto""]"
PC 19720281,"[""Lion""]","[""Incised""]"
PC 19990009,0,"[""Incised""]"
PC 20100003,0,"[""Incised""]"
PC 19940111,0,0
PC 19680328,"[""Seated Figure""]","[""Painted""]"
PC 19720294,0,0
PC 19940068,0,"[""Incised""]"
PC 19840052,0,0
PC 19710568,0,"[""Ridged"", ""Molded""]"
PC 20090158,0,0
PC 19680135,"[""Banquet"", ""Guilloche""]",0
PC 19890064,0,0
PC 19990088,0,0
PC 20090002,0,0
PC 19830038,0,0
PC 19710287,"[""Gorgon""]",0
PC 19890154,0,"[""Cavetto""]"
VdM 20060046,0,"[""Incised""]"
PC 19681050,0,0
PC 19990073,0,0
PC 19970071,0,0
PC 20110033,0,"[""Fenestrated""]"
PC 20050026,0,0
VdM 20060069,0,0
PC 20100019,"[""Flower"", ""Florette""]","[""Stamped""]"
PC 20080194,0,"[""Painted""]"
PC 20070215,0,0
PC 19710378,"[""Circles""]","[""Impressed""]"
PC 20070287,0,0
PC 19840025,0,0
PC 19720351,0,"[""Incised""]"
VdM 20155064,0,0
PC 20170055,0,0
PC 20080151,0,"[""Fenestrated""]"
PC 19770140,0,"[""Incised""]"
PC 19710162,"[""Feline""]","[""Relief""]"
VdM 20155075,0,0
PC 20140052,0,"[""Incised""]"
PC 19760056,0,"[""Relief""]"
PC 19720054,0,"[""Finger Incised""]"
PC 19680124,"[""Horse Race""]","[""Painted""]"
PC 20170020,0,0
PC 20070035,0,"[""Ridged""]"
PC 20040147,0,0
PC 20000094,0,"[""Inlay""]"
PC 19680536,0,0
PC 20080083,0,"[""Incised""]"
PC 20090264,0,0
PC 20070021,0,0
PC 20080009,0,"[""Painted""]"
PC 20090161,0,"[""Incised"", ""Painted""]"
PC 20030051,0,0
VdM 20060025,0,0
PC 19980100,0,0
PC 19980182,0,0
PC 20090175,0,0
PC 19720153,0,"[""Incised""]"
PC 19930110,0,"[""Incised""]"
PC 20030128,"[""Braid""]",0
PC 20140085,"[""Animal""]","[""Plastic""]"
PC 19950135,0,0
VdM 20060193,0,0
PC 20180002,0,0
PC 19790191,0,"[""Impressed""]"
PC 20090026,0,0
VdM 20060084,0,"[""Impressed""]"
PC 20090034,0,0
PC 19840226,0,0
PC 20130146,0,0
PC 20040083,0,"[""Cavetto""]"
PC 19850020,0,0
PC 19870136,0,"[""Pierced""]"
PC 20130179,0,0
PC 19760129,0,0
PC 20030024,0,0
VdM 20155009,0,0
PC 20090134,0,"[""Cavetto""]"
PC 19840193,0,0
PC 19830080,"[""Volute""]",0
PC 19790196,"[""Ram""]","[""Relief"", ""Molded""]"
PC 20070189,0,0
PC 19720026,"[""Circles""]","[""Stamped""]"
VdM 20155047,0,0
PC 20070198,"[""Flower"", ""Circles""]","[""Impressed"", ""Stamped""]"
PC 19670001,0,0
PC 19710266,0,0
PC 19880012,"[""Lion""]","[""Cavetto""]"
PC 19680360,"[""Banquet""]","[""Painted""]"
PC 19810092,0,0
PC 19760100,"[""Banquet""]","[""Relief""]"
PC 19680407,"[""Banquet""]",0
VdM 20060123,0,0
PC 20190096,0,0
PC 19850125,0,"[""Inlay""]"
PC 19680619,0,0
PC 20140140,0,0
PC 19970116,0,0
PC 20090085,0,"[""Ridged""]"
PC 19830081,"[""Volute""]",0
PC 19710945,0,"[""Fenestrated""]"
PC 20090055,0,"[""Incised""]"
PC 20110048,"[""Seated Figure"", ""Guilloche""]",0
PC 19800242,0,"[""Incised""]"
PC 19890093,0,0
PC 19880041,"[""Feline""]",0
PC 19970118,0,0
PC 19710458,0,0
PC 19720066,0,"[""Finger Incised""]"
PC 19770139,"[""Circles""]",0
PC 20070015,0,0
PC 19680298,"[""Seated Figure"", ""Guilloche""]",0
PC 19710032,0,0
PC 19820061,0,0
PC 20040129,"[""Palmette"", ""Deer""]","[""Roulette"", ""Stamped""]"
PC 19710455,0,0
PC 19790085,0,"[""Incised""]"
PC 20130012,0,0
PC 19720062,0,"[""Finger Incised""]"
PC 20020044,0,0
PC 19790215,0,0
PC 19770274,"[""Banquet""]","[""Relief"", ""Cavetto""]"
PC 20020042,0,0
PC 19710805,0,"[""Ridged"", ""Incised""]"
PC 20080080,0,0
PC 19930100,0,"[""Molded""]"
PC 19820139,0,"[""Painted""]"
PC 19730283,"[""Palmette""]","[""Molded""]"
PC 19950125,0,"[""Painted""]"
PC 19720285,0,"[""Stamped""]"
PC 19790073,0,0
PC 19730224,"[""Guilloche""]","[""Stamped""]"
PC 19870008,0,0
PC 20070249,0,0
PC 20090119,0,0
PC 19710291,0,0
PC 20070147,0,0
PC 19850019,0,0
PC 19730064,0,0
PC 20040054,0,0
VdM 20060021,0,0
VdM 20060146,0,0
PC 19970103,0,0
PC 19730113,"[""Seated Figure""]","[""Cavetto""]"
VdM 20155040,0,0
PC 20050145,0,0
PC 20180005,0,0
PC 19720240,"[""Banquet""]",0
PC 19840055,0,"[""Incised""]"
PC 19970059,0,0
PC 20050053,"[""Gorgon""]",0
PC 20120085,0,0
PC 19800033,0,0
PC 19940058,0,0
PC 19710830,"[""Rosette""]","[""Molded"", ""Cavetto""]"
PC 20090183,0,0
PC 20120157,0,0
PC 19850017,"[""Volute""]","[""Painted""]"
PC 19850177,0,"[""Incised""]"
PC 20070234,0,0
VdM 20060019,0,0
PC 20140067,0,0
PC 20040039,0,0
VdM 20155056,0,0
PC 19730230,"[""Guilloche"", ""Volute""]","[""Stamped""]"
PC 19700300,"[""Hair""]",0
PC 19730143,0,"[""Molded""]"
PC 20030154,0,"[""Finger Incised""]"
PC 19800212,0,"[""Inscribed""]"
PC 19930086,"[""Rosette""]",0
PC 19930082,"[""Vegetal""]","[""Stamped"", ""Impressed""]"
PC 20070142,0,0
VdM 20060224,0,"[""Incised""]"
PC 20120021,0,0
VdM 20060135,0,"[""Incised""]"
PC 19950099,"[""Notches""]",0
PC 19770131,"[""Flower"", ""Volute"", ""Palmette""]","[""Relief"", ""Molded""]"
PC 20000010,0,"[""Incised"", ""Molded""]"
PC 20090068,"[""Horse Race"", ""Guilloche""]",0
PC 20130024,0,0
PC 19750081,0,0
PC 19710386,"[""Feline"", ""Panther""]","[""Impressed"", ""Molded"", ""Relief""]"
PC 19840165,0,"[""Incised"", ""Painted""]"
PC 19680080,0,"[""Painted""]"
PC 19720385,"[""Circles""]","[""Molded""]"
PC 20140047,0,"[""Molded""]"
PC 19890011,"[""Rosette""]",0
PC 19720399,"[""Bean""]","[""Applique""]"
PC 19720496,0,"[""Incised""]"
PC 19820057,0,"[""Incised""]"
PC 20150080,0,0
PC 19850134,0,0
PC 20080149,0,"[""Impressed""]"
PC 19820041,0,0
PC 20110084,"[""Procession"", ""Guilloche""]",0
PC 20130020,0,0
PC 19700137,0,"[""Incised"", ""Painted""]"
PC 19970069,0,0
PC 19780035,"[""Circles""]","[""Stamped""]"
PC 19990062,0,0
PC 19850100,0,0
PC 20150078,"[""Dots""]","[""Stippled"", ""Stamped""]"
PC 19910009,"[""Horse Race""]",0
PC 20130149,0,0
PC 20130035,0,0
PC 19930009,0,"[""Pierced""]"
PC 20120180,"[""Florette""]","[""Stamped""]"
PC 19680074,"[""Rosette""]",0
PC 20140007,0,0
PC 19710232,"[""Dots""]","[""Molded""]"
PC 19930121,0,"[""Molded""]"
VdM 20165052,"[""Circles""]","[""Incised""]"
PC 19770135,"[""Palmette""]","[""Impressed"", ""Relief""]"
PC 19730164,"[""Procession"", ""Guilloche""]","[""Painted""]"
PC 20170014,0,0
PC 20050064,0,"[""Incised""]"
PC 19680313,"[""Seated Figure"", ""Guilloche""]",0
PC 19720430,0,0
PC 19680294,"[""Seated Figure"", ""Guilloche""]",0
VdM 20165053,"[""Meander""]","[""Painted""]"
PC 19860019,"[""Flower""]","[""Stamped""]"
PC 20070039,0,0
PC 20050134,0,"[""Stamped""]"
PC 19670044,"[""Feline""]",0
PC 19710727,"[""Rosette"", ""Dots""]","[""Incised""]"
PC 19840198,"[""Volute""]",0
PC 19820023,0,0
PC 20030001,0,0
PC 20010049,0,0
PC 20150018,0,0
PC 19960103,0,0
PC 19740034,"[""Bean""]","[""Incised"", ""Applique""]"
PC 20080193,0,"[""Painted""]"
PC 20110055,0,"[""Ridged""]"
PC 19830011,0,"[""Painted""]"
PC 19980054,0,0
VdM 20060145,0,0
VdM 20060139,0,"[""Incised""]"
PC 19830033,0,0
PC 20010087,0,0
VdM 20155061,0,0
PC 19840195,"[""Volute""]",0
PC 20040128,0,0
PC 20070304,0,"[""Stamped""]"
VdM 20060076,0,0
PC 20120088,0,0
PC 19710263,0,0
PC 20130243,0,0
PC 20080026,0,"[""Fluted"", ""Incised""]"
PC 20130222,0,0
PC 20130099,0,0
PC 20190111,0,0
PC 19820172,0,0
PC 19710037,0,0
PC 20130228,0,0
PC 19890166,0,"[""Incised"", ""Inscribed"", ""Impressed""]"
PC 20190029,0,0
PC 19840176,0,"[""Incised""]"
PC 19720004,0,"[""Molded"", ""Applique""]"
PC 19720033,"[""Palmette""]","[""Molded""]"
PC 19860032,"[""Circles""]","[""Stamped"", ""Molded""]"
PC 19720391,"[""Bean""]","[""Applique""]"
PC 19970053,0,0
PC 20010001,0,0
PC 20050058,0,0
PC 19870039,0,0
PC 19710818,"[""Guilloche""]","[""Incised""]"
PC 19720382,"[""Guilloche""]","[""Molded""]"
PC 20040032,0,0
PC 20090225,0,0
PC 19680178,"[""Rosette""]",0
PC 19880009,"[""Procession""]",0
PC 19840199,"[""Volute""]",0
PC 19730177,"[""Seated Figure"", ""Guilloche""]","[""Painted""]"
PC 19710264,0,0
PC 20090075,0,0
PC 20080208,0,"[""Incised"", ""Painted""]"
PC 19690067,0,"[""Incised""]"
PC 19980110,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 20070063,0,0
PC 20090165,0,0
PC 19710141,0,0
PC 20190059,0,0
PC 19840035,"[""Feline""]",0
PC 20070174,0,"[""Ridged"", ""Incised""]"
PC 19830034,0,"[""Painted""]"
PC 19850057,"[""Volute""]",0
PC 19770119,0,0
PC 19860046,"[""Stag""]","[""Stamped""]"
PC 20080061,0,"[""Ribbed"", ""Impressed""]"
PC 19710084,0,"[""Impressed""]"
PC 19660159,"[""Horse Race""]","[""Cavetto""]"
PC 19760048,"[""Palmette""]","[""Impressed""]"
VdM 20060031,0,0
PC 19820185,0,0
PC 19720061,0,"[""Finger Incised""]"
PC 19670490,0,0
PC 20020032,0,0
PC 19680164,"[""Bird""]","[""Plastic"", ""Relief""]"
PC 19710760,0,0
PC 19770021,0,"[""Incised""]"
PC 19990016,0,0
PC 19720395,"[""Bean""]","[""Applique""]"
PC 19850181,0,"[""Beveled""]"
PC 19770001,0,0
PC 19840013,0,0
PC 19700235,0,"[""Incised"", ""Pierced""]"
PC 20090006,0,0
PC 19850110,0,0
PC 19680199,"[""Gorgon""]",0
PC 19680312,"[""Seated Figure""]",0
PC 19840061,0,0
PC 20110028,0,"[""Cavetto""]"
VdM 20155085,"[""Braid""]","[""Plastic""]"
PC 20090067,"[""Guilloche""]","[""Incised""]"
PC 20050048,0,0
VdM 20155041,0,0
PC 20050113,0,0
PC 20130028,0,0
PC 19680297,"[""Seated Figure""]","[""Painted""]"
PC 19660174,"[""Dots""]","[""Stamped""]"
PC 19840101,"[""Feline""]",0
PC 19710812,0,"[""Painted""]"
PC 19680506,0,0
PC 19680106,"[""Horse Race""]","[""Painted""]"
PC 19950130,0,"[""Fluted""]"
PC 19860077,0,0
PC 19700182,0,"[""Pierced""]"
PC 19840011,0,"[""Inscribed""]"
PC 20070207,0,"[""Incised""]"
PC 19770037,"[""Circles""]","[""Incised""]"
PC 20040065,0,0
PC 20130194,0,0
VdM20175026,0,"[""Painted""]"
PC 19720323,"[""Palmette"", ""Female""]","[""Molded"", ""Incised""]"
PC 19700178,0,"[""Molded""]"
PC 20050122,0,0
PC 20010085,0,0
PC 19800223,"[""Seated Figure""]",0
PC 19830063,"[""Feline""]",0
PC 20100017,0,0
VdM 20155046,0,0
PC 19930065,0,"[""Incised""]"
PC 19710480,"[""Dots""]","[""Incised""]"
PC 19790132,"[""Quadruped""]","[""Stamped""]"
VdM 20060167,0,0
PC 20110051,0,0
PC 20040069,0,0
PC 19890130,0,0
PC 19950132,0,"[""Inscribed""]"
PC 19870006,"[""Banquet"", ""Female""]",0
PC 20120154,0,0
PC 19670023,"[""Meander""]","[""Painted""]"
PC 19680300,"[""Seated Figure""]",0
PC 20080031,0,"[""Relief""]"
PC 19710018,0,0
PC 19680622,0,0
PC 19750069,"[""Circles""]","[""Stamped""]"
PC 19720400,"[""Bean""]","[""Applique""]"
PC 20120163,0,0
PC 19770213,"[""Volute""]","[""Painted""]"
PC 20110052,0,0
PC 19750092,0,"[""Painted""]"
PC 20110057,"[""Gorgon""]",0
PC 19760116,"[""Circles""]","[""Relief"", ""Incised""]"
PC 19850050,"[""Feline""]",0
PC 20150017,0,0
PC 20140095,0,0
PC 19720363,0,"[""Incised""]"
PC 19700309,"[""Banquet"", ""Guilloche""]",0
PC 19880140,0,0
PC 20150041,0,0
PC 19840131,"[""Feline""]",0
PC 19700141,0,"[""Incised""]"
PC 19870020,0,"[""Cavetto""]"
PC 19680224,"[""Gorgon"", ""Tongue""]",0
PC 20000086,0,"[""Painted""]"
PC 20130181,0,0
PC 19760176,0,"[""Incised""]"
PC 19710038,0,0
PC 20080014,0,0
PC 20030075,0,0
PC 19710261,0,0
PC 19720085,0,0
PC 20110058,"[""Female""]",0
PC 19950093,0,0
PC 20140111,"[""Feline""]","[""Molded""]"
PC 20080191,0,0
PC 19760040,"[""Banquet"", ""Guilloche""]",0
PC 19710703,"[""Seated Figure""]",0
PC 20000097,0,0
PC 19950008,0,0
PC 19870064,"[""Gorgon"", ""Tongue""]",0
PC 19680161,"[""Feline""]","[""Painted""]"
PC 20110078,0,"[""Beveled""]"
PC 20110014,0,0
PC 19940002,0,"[""Cavetto""]"
PC 19660297,"[""Seated Figure""]",0
PC 20130158,0,"[""Fluted""]"
PC 19700031,0,"[""Relief""]"
PC 20040076,0,0
PC 20130127,0,0
PC 19780052,"[""Flower"", ""Rosette""]","[""Impressed"", ""Stamped""]"
PC 20130247,0,0
PC 20100085,0,0
PC 19970104,0,0
VdM20175011,0,0
PC 19840190,0,0
PC 19680088,"[""Horse Race""]","[""Cavetto""]"
PC 20090021,0,0
VdM 20060223,0,0
PC 20000034,0,0
PC 20050052,0,"[""Applique""]"
PC 20070168,0,"[""Incised""]"
PC 19710719,"[""Guilloche""]","[""Relief""]"
PC 19730145,0,"[""Molded""]"
PC 19710554,0,"[""Relief""]"
PC 19810036,0,0
PC 19970092,0,0
PC 20020048,0,0
VdM 20155030,0,0
VdM20175006,0,0
PC 19900004,0,0
