motif,dec_tec,weight
Bird,Roulette,0
Bird,Scalloped,0
Bird,Slipped,0
Bird,Stamped,3
Bird,Stippled,0
Braid,No Decorative Technique,10
Braid,Applique,1
Braid,Beveled,0
Braid,Bifurcated,0
Braid,Burnished,0
Braid,Cavetto,0
Braid,Fenestrated,0
Braid,Finger Incised,0
Braid,Fluted,0
Braid,Impressed,7
Braid,Incised,5
Braid,Inlay,0
Braid,Inscribed,0
Braid,Letters,0
Braid,Molded,1
Braid,Other,1
Braid,Painted,2
Braid,Pierced,0
Braid,Plastic,3
Braid,Punched,0
Braid,Relief,0
Braid,Reticulated,0
Braid,Ribbed,0
Braid,Ridged,0
Braid,Roulette,0
Braid,Scalloped,0
Braid,Slipped,0
Braid,Stamped,1
Braid,Stippled,0
Bucrania,No Decorative Technique,3
Bucrania,Applique,0
Bucrania,Beveled,0
Bucrania,Bifurcated,0
Bucrania,Burnished,0
Bucrania,Cavetto,0
Bucrania,Fenestrated,0
Bucrania,Finger Incised,0
Bucrania,Fluted,0
Bucrania,Impressed,0
Bucrania,Incised,0
Bucrania,Inlay,0
Bucrania,Inscribed,0
Bucrania,Letters,0
Bucrania,Molded,0
Bucrania,Other,0
Bucrania,Painted,0
Bucrania,Pierced,2
Bucrania,Plastic,0
Bucrania,Punched,0
Bucrania,Relief,0
Bucrania,Reticulated,0
Bucrania,Ribbed,0
Bucrania,Ridged,0
Bucrania,Roulette,0
Bucrania,Scalloped,0
Bucrania,Slipped,0
Bucrania,Stamped,0
Bucrania,Stippled,0
Bull,No Decorative Technique,5
Bull,Applique,0
Bull,Beveled,0
Bull,Bifurcated,0
Bull,Burnished,0
Bull,Cavetto,0
Bull,Fenestrated,0
Bull,Finger Incised,0
Bull,Fluted,0
Bull,Impressed,0
Bull,Incised,0
Bull,Inlay,0
Bull,Inscribed,0
Bull,Letters,0
Bull,Molded,0
Bull,Other,0
Bull,Painted,0
Bull,Pierced,0
Bull,Plastic,0
Bull,Punched,0
Bull,Relief,0
Bull,Reticulated,0
Bull,Ribbed,0
Bull,Ridged,0
Bull,Roulette,0
Bull,Scalloped,0
Bull,Slipped,0
Bull,Stamped,1
Bull,Stippled,0
Caryatid,No Decorative Technique,0
Caryatid,Applique,0
Caryatid,Beveled,0
Caryatid,Bifurcated,0
Caryatid,Burnished,0
Caryatid,Cavetto,0
Caryatid,Fenestrated,0
Caryatid,Finger Incised,0
Caryatid,Fluted,0
Caryatid,Impressed,0
Caryatid,Incised,3
Caryatid,Inlay,0
Caryatid,Inscribed,0
Caryatid,Letters,0
Caryatid,Molded,0
Caryatid,Other,0
Caryatid,Painted,0
Caryatid,Pierced,0
Caryatid,Plastic,0
Caryatid,Punched,0
Caryatid,Relief,0
Caryatid,Reticulated,0
Caryatid,Ribbed,0
Caryatid,Ridged,0
Caryatid,Roulette,0
Caryatid,Scalloped,0
Caryatid,Slipped,0
Caryatid,Stamped,0
Caryatid,Stippled,0
Chevron,No Decorative Technique,3
Chevron,Applique,0
Chevron,Beveled,0
Chevron,Bifurcated,0
Chevron,Burnished,0
Chevron,Cavetto,0
Chevron,Fenestrated,0
Chevron,Finger Incised,0
Chevron,Fluted,0
Chevron,Impressed,1
Chevron,Incised,16
Chevron,Inlay,0
Chevron,Inscribed,1
Chevron,Letters,0
Chevron,Molded,0
Chevron,Other,0
Chevron,Painted,0
Chevron,Pierced,0
Chevron,Plastic,0
Chevron,Punched,0
Chevron,Relief,0
Chevron,Reticulated,0
Chevron,Ribbed,0
Chevron,Ridged,0
Chevron,Roulette,0
Chevron,Scalloped,0
Chevron,Slipped,0
Chevron,Stamped,1
Chevron,Stippled,0
Chevrons,No Decorative Technique,0
Chevrons,Applique,0
Chevrons,Beveled,0
Chevrons,Bifurcated,0
Chevrons,Burnished,0
Chevrons,Cavetto,0
Chevrons,Fenestrated,0
Chevrons,Finger Incised,0
Chevrons,Fluted,0
Chevrons,Impressed,0
Chevrons,Incised,0
Chevrons,Inlay,0
Chevrons,Inscribed,0
Chevrons,Letters,0
Chevrons,Molded,0
Chevrons,Other,0
Chevrons,Painted,1
Chevrons,Pierced,0
Chevrons,Plastic,0
Chevrons,Punched,0
Chevrons,Relief,0
Chevrons,Reticulated,0
Chevrons,Ribbed,0
Chevrons,Ridged,0
Chevrons,Roulette,0
Chevrons,Scalloped,0
Chevrons,Slipped,0
Chevrons,Stamped,1
Chevrons,Stippled,0
Circles,No Decorative Technique,36
Circles,Applique,4
Circles,Beveled,1
Circles,Bifurcated,0
Circles,Burnished,0
Circles,Cavetto,0
Circles,Fenestrated,0
Circles,Finger Incised,0
Circles,Fluted,1
Circles,Impressed,20
Circles,Incised,80
Circles,Inlay,4
Circles,Inscribed,3
Circles,Letters,1
Circles,Molded,11
Circles,Other,0
Circles,Painted,11
Circles,Pierced,1
Circles,Plastic,0
Circles,Punched,0
Circles,Relief,9
Circles,Reticulated,1
Circles,Ribbed,0
Circles,Ridged,2
Circles,Roulette,1
Circles,Scalloped,1
Circles,Slipped,2
Circles,Stamped,111
Circles,Stippled,0
Cross-Hatched,No Decorative Technique,0
Cross-Hatched,Applique,0
Cross-Hatched,Beveled,0
Cross-Hatched,Bifurcated,0
Cross-Hatched,Burnished,0
Cross-Hatched,Cavetto,0
Cross-Hatched,Fenestrated,0
Cross-Hatched,Finger Incised,0
Cross-Hatched,Fluted,0
Cross-Hatched,Impressed,0
Cross-Hatched,Incised,1
Cross-Hatched,Inlay,0
Cross-Hatched,Inscribed,0
Cross-Hatched,Letters,0
Cross-Hatched,Molded,0
Cross-Hatched,Other,0
Cross-Hatched,Painted,0
Cross-Hatched,Pierced,0
Cross-Hatched,Plastic,0
Cross-Hatched,Punched,0
Cross-Hatched,Relief,0
Cross-Hatched,Reticulated,0
Cross-Hatched,Ribbed,0
Cross-Hatched,Ridged,0
Cross-Hatched,Roulette,0
Cross-Hatched,Scalloped,0
Cross-Hatched,Slipped,0
Cross-Hatched,Stamped,0
Cross-Hatched,Stippled,0
Deer,No Decorative Technique,8
Deer,Applique,0
Deer,Beveled,0
Deer,Bifurcated,0
Deer,Burnished,0
Deer,Cavetto,0
Deer,Fenestrated,0
Deer,Finger Incised,0
Deer,Fluted,0
Deer,Impressed,0
Deer,Incised,1
Deer,Inlay,0
Deer,Inscribed,0
Deer,Letters,0
Deer,Molded,1
Deer,Other,0
Deer,Painted,0
Deer,Pierced,0
Deer,Plastic,0
Deer,Punched,0
Deer,Relief,2
Deer,Reticulated,0
Deer,Ribbed,0
Deer,Ridged,1
Deer,Roulette,1
Deer,Scalloped,0
Deer,Slipped,0
Deer,Stamped,5
Deer,Stippled,0
Dots,No Decorative Technique,18
Dots,Applique,2
Dots,Beveled,0
Dots,Bifurcated,0
Dots,Burnished,0
Dots,Cavetto,1
Dots,Fenestrated,0
Dots,Finger Incised,0
Dots,Fluted,0
Dots,Impressed,12
Dots,Incised,47
Dots,Inlay,4
Dots,Inscribed,1
Dots,Letters,0
Dots,Molded,7
Dots,Other,0
Dots,Painted,10
Dots,Pierced,1
Dots,Plastic,1
Dots,Punched,0
Dots,Relief,9
Dots,Reticulated,0
Dots,Ribbed,0
Dots,Ridged,0
Dots,Roulette,1
Dots,Scalloped,1
Dots,Slipped,0
Dots,Stamped,16
Dots,Stippled,10
Duck,No Decorative Technique,2
Duck,Applique,1
Duck,Beveled,0
Duck,Bifurcated,0
Duck,Burnished,0
Duck,Cavetto,0
Duck,Fenestrated,0
Duck,Finger Incised,0
Duck,Fluted,0
Duck,Impressed,0
Duck,Incised,3
Duck,Inlay,0
Duck,Inscribed,0
Duck,Letters,0
Duck,Molded,0
Duck,Other,0
Duck,Painted,0
Duck,Pierced,0
Duck,Plastic,0
Duck,Punched,0
Duck,Relief,0
Duck,Reticulated,0
Duck,Ribbed,0
Duck,Ridged,0
Duck,Roulette,0
Duck,Scalloped,0
Duck,Slipped,0
Duck,Stamped,0
Duck,Stippled,0
Feline,No Decorative Technique,176
Feline,Applique,4
Feline,Beveled,0
Feline,Bifurcated,0
Feline,Burnished,0
Feline,Cavetto,14
Feline,Fenestrated,0
Feline,Finger Incised,0
Feline,Fluted,0
Feline,Impressed,2
Feline,Incised,19
Feline,Inlay,0
Feline,Inscribed,1
Feline,Letters,0
Feline,Molded,22
Feline,Other,0
Feline,Painted,16
Feline,Pierced,0
Feline,Plastic,4
Feline,Punched,0
Feline,Relief,17
Feline,Reticulated,0
Feline,Ribbed,0
Feline,Ridged,3
Feline,Roulette,1
Feline,Scalloped,0
Feline,Slipped,0
Feline,Stamped,4
Feline,Stippled,0
Female,No Decorative Technique,121
Female,Applique,5
Female,Beveled,1
Female,Bifurcated,0
Female,Burnished,0
Female,Cavetto,19
Female,Fenestrated,0
Female,Finger Incised,0
Female,Fluted,2
Female,Impressed,0
Female,Incised,40
Female,Inlay,0
Female,Inscribed,1
Female,Letters,0
Female,Molded,30
Female,Other,0
Female,Painted,4
Female,Pierced,0
Female,Plastic,3
Female,Punched,0
Female,Relief,25
Female,Reticulated,0
Female,Ribbed,0
Female,Ridged,1
Female,Roulette,0
Female,Scalloped,0
Female,Slipped,0
