motifs1,motifs2,weights
Gorgon,Potnia Theron,0
Gorgon,Bearded Head,0
Gorgon,Bucrania,0
Gorgon,Rabbit,0
Gorgon,Warrior,0
Gorgon,Hair,9
Gorgon,Griffin,0
Gorgon,Quadruped,0
Gorgon,Bearded,0
Gorgon,Notches,0
Gorgon,Bull,0
Gorgon,Figure,0
Gorgon,Stag,0
Gorgon,Chevron,0
Gorgon,Duck,0
Gorgon,Wrestler,0
Gorgon,Umpire,0
Gorgon,Bean,0
Gorgon,Cross-Hatched,0
Gorgon,Triangular,0
Gorgon,Ray,0
Gorgon,Vegetal,0
Gorgon,Caryatid,0
Gorgon,Braid,0
Gorgon,Florette,0
Gorgon,Asterisk,0
Gorgon,Chevrons,0
Gorgon,Other,0
Tongue,Rosette,0
Tongue,Circles,0
Tongue,Female,0
Tongue,Palmette,0
Tongue,Gorgon,49
Tongue,Tongue,92
Tongue,Ram,0
Tongue,Banquet,0
Tongue,Guilloche,1
Tongue,Horse,0
Tongue,Horse Race,0
Tongue,Feline,1
Tongue,Deer,0
Tongue,Lotus,0
Tongue,Procession,2
Tongue,Seated Figure,0
Tongue,Bird,1
Tongue,Flower,1
Tongue,Sphinx,0
Tongue,Animal,2
Tongue,Male,0
Tongue,Panther,0
Tongue,Lion,0
Tongue,Dots,0
Tongue,Meander,0
Tongue,Geometric,0
Tongue,Volute,0
Tongue,Potnia Theron,0
Tongue,Bearded Head,1
Tongue,Bucrania,0
Tongue,Rabbit,0
Tongue,Warrior,1
Tongue,Hair,1
Tongue,Griffin,2
Tongue,Quadruped,0
Tongue,Bearded,0
Tongue,Notches,0
Tongue,Bull,0
Tongue,Figure,0
Tongue,Stag,0
Tongue,Chevron,0
Tongue,Duck,0
Tongue,Wrestler,0
Tongue,Umpire,0
Tongue,Bean,0
Tongue,Cross-Hatched,0
Tongue,Triangular,0
Tongue,Ray,0
Tongue,Vegetal,0
Tongue,Caryatid,0
Tongue,Braid,0
Tongue,Florette,0
Tongue,Asterisk,0
Tongue,Chevrons,0
Tongue,Other,0
Ram,Rosette,0
Ram,Circles,0
Ram,Female,0
Ram,Palmette,0
Ram,Gorgon,0
Ram,Tongue,0
Ram,Ram,11
Ram,Banquet,0
Ram,Guilloche,0
Ram,Horse,0
Ram,Horse Race,0
Ram,Feline,0
Ram,Deer,0
Ram,Lotus,0
Ram,Procession,0
Ram,Seated Figure,0
Ram,Bird,0
Ram,Flower,0
Ram,Sphinx,0
Ram,Animal,0
Ram,Male,0
Ram,Panther,0
Ram,Lion,0
Ram,Dots,0
Ram,Meander,0
Ram,Geometric,0
Ram,Volute,2
Ram,Potnia Theron,0
Ram,Bearded Head,0
Ram,Bucrania,0
Ram,Rabbit,0
Ram,Warrior,0
Ram,Hair,0
Ram,Griffin,0
Ram,Quadruped,0
Ram,Bearded,0
Ram,Notches,1
Ram,Bull,0
Ram,Figure,0
Ram,Stag,0
Ram,Chevron,0
Ram,Duck,1
Ram,Wrestler,0
Ram,Umpire,0
Ram,Bean,0
Ram,Cross-Hatched,0
Ram,Triangular,0
Ram,Ray,0
Ram,Vegetal,0
Ram,Caryatid,0
Ram,Braid,0
Ram,Florette,0
Ram,Asterisk,0
Ram,Chevrons,0
Ram,Other,0
Banquet,Rosette,0
Banquet,Circles,1
Banquet,Female,62
Banquet,Palmette,0
Banquet,Gorgon,0
Banquet,Tongue,0
Banquet,Ram,0
Banquet,Banquet,328
Banquet,Guilloche,99
Banquet,Horse,0
Banquet,Horse Race,2
Banquet,Feline,0
Banquet,Deer,0
Banquet,Lotus,0
Banquet,Procession,2
Banquet,Seated Figure,10
Banquet,Bird,0
Banquet,Flower,1
Banquet,Sphinx,0
Banquet,Animal,0
Banquet,Male,0
Banquet,Panther,0
Banquet,Lion,0
Banquet,Dots,6
Banquet,Meander,0
Banquet,Geometric,0
Banquet,Volute,0
Banquet,Potnia Theron,0
Banquet,Bearded Head,1
Banquet,Bucrania,0
Banquet,Rabbit,0
Banquet,Warrior,0
Banquet,Hair,0
Banquet,Griffin,0
Banquet,Quadruped,0
Banquet,Bearded,0
Banquet,Notches,0
Banquet,Bull,0
Banquet,Figure,4
Banquet,Stag,0
Banquet,Chevron,0
Banquet,Duck,0
Banquet,Wrestler,0
Banquet,Umpire,0
Banquet,Bean,0
Banquet,Cross-Hatched,0
Banquet,Triangular,0
Banquet,Ray,0
Banquet,Vegetal,0
Banquet,Caryatid,0
Banquet,Braid,0
Banquet,Florette,0
Banquet,Asterisk,0
Banquet,Chevrons,0
Banquet,Other,0
Guilloche,Rosette,1
Guilloche,Circles,10
Guilloche,Female,34
Guilloche,Palmette,2
Guilloche,Gorgon,0
Guilloche,Tongue,1
Guilloche,Ram,0
Guilloche,Banquet,99
Guilloche,Guilloche,496
Guilloche,Horse,1
Guilloche,Horse Race,78
Guilloche,Feline,1
Guilloche,Deer,0
Guilloche,Lotus,7
Guilloche,Procession,61
Guilloche,Seated Figure,68
Guilloche,Bird,0
Guilloche,Flower,1
Guilloche,Sphinx,0
Guilloche,Animal,2
Guilloche,Male,0
Guilloche,Panther,0
Guilloche,Lion,0
Guilloche,Dots,12
Guilloche,Meander,0
Guilloche,Geometric,0
Guilloche,Volute,4
Guilloche,Potnia Theron,0
Guilloche,Bearded Head,1
Guilloche,Bucrania,0
Guilloche,Rabbit,14
Guilloche,Warrior,0
Guilloche,Hair,1
Guilloche,Griffin,0
Guilloche,Quadruped,0
Guilloche,Bearded,0
Guilloche,Notches,0
Guilloche,Bull,0
Guilloche,Figure,2
Guilloche,Stag,0
Guilloche,Chevron,0
Guilloche,Duck,0
Guilloche,Wrestler,0
Guilloche,Umpire,0
Guilloche,Bean,1
Guilloche,Cross-Hatched,0
Guilloche,Triangular,0
Guilloche,Ray,0
Guilloche,Vegetal,0
Guilloche,Caryatid,0
Guilloche,Braid,0
Guilloche,Florette,0
Guilloche,Asterisk,0
Guilloche,Chevrons,0
Guilloche,Other,0
Horse,Rosette,0
Horse,Circles,0
Horse,Female,0
Horse,Palmette,0
Horse,Gorgon,0
Horse,Tongue,0
Horse,Ram,0
Horse,Banquet,0
Horse,Guilloche,1
Horse,Horse,12
Horse,Horse Race,0
Horse,Feline,0
Horse,Deer,0
Horse,Lotus,0
Horse,Procession,0
Horse,Seated Figure,0
Horse,Bird,0
Horse,Flower,0
Horse,Sphinx,0
Horse,Animal,1
Horse,Male,0
Horse,Panther,0
Horse,Lion,0
Horse,Dots,1
Horse,Meander,0
Horse,Geometric,0
Horse,Volute,0
Horse,Potnia Theron,0
Horse,Bearded Head,1
Horse,Bucrania,0
Horse,Rabbit,0
Horse,Warrior,0
Horse,Hair,0
Horse,Griffin,0
Horse,Quadruped,0
Horse,Bearded,0
Horse,Notches,0
Horse,Bull,0
Horse,Figure,0
Horse,Stag,0
Horse,Chevron,0
Horse,Duck,0
Horse,Wrestler,0
Horse,Umpire,0
Horse,Bean,0
Horse,Cross-Hatched,0
Horse,Triangular,0
Horse,Ray,0
Horse,Vegetal,0
Horse,Caryatid,0
Horse,Braid,0
Horse,Florette,0
Horse,Asterisk,0
Horse,Chevrons,0
Horse,Other,0
Horse Race,Rosette,0
Horse Race,Circles,0
Horse Race,Female,0
Horse Race,Palmette,0
Horse Race,Gorgon,0
Horse Race,Tongue,0
Horse Race,Ram,0
Horse Race,Banquet,2
Horse Race,Guilloche,78
Horse Race,Horse,0
Horse Race,Horse Race,258
Horse Race,Feline,0
Horse Race,Deer,1
Horse Race,Lotus,0
Horse Race,Procession,1
Horse Race,Seated Figure,1
Horse Race,Bird,0
Horse Race,Flower,0
Horse Race,Sphinx,0
Horse Race,Animal,0
Horse Race,Male,0
Horse Race,Panther,0
Horse Race,Lion,0
Horse Race,Dots,0
Horse Race,Meander,0
Horse Race,Geometric,0
Horse Race,Volute,0
Horse Race,Potnia Theron,0
Horse Race,Bearded Head,0
Horse Race,Bucrania,0
Horse Race,Rabbit,0
Horse Race,Warrior,0
Horse Race,Hair,1
Horse Race,Griffin,0
Horse Race,Quadruped,0
Horse Race,Bearded,0
Horse Race,Notches,0
Horse Race,Bull,0
Horse Race,Figure,0
Horse Race,Stag,0
Horse Race,Chevron,0
Horse Race,Duck,0
Horse Race,Wrestler,0
Horse Race,Umpire,0
Horse Race,Bean,0
Horse Race,Cross-Hatched,0
Horse Race,Triangular,0
Horse Race,Ray,0
Horse Race,Vegetal,0
Horse Race,Caryatid,0
Horse Race,Braid,1
Horse Race,Florette,0
Horse Race,Asterisk,0
Horse Race,Chevrons,0
Horse Race,Other,0
Feline,Rosette,18
Feline,Circles,2
Feline,Female,1
Feline,Palmette,0
Feline,Gorgon,3
Feline,Tongue,1
Feline,Ram,0
Feline,Banquet,0
Feline,Guilloche,1
Feline,Horse,0
Feline,Horse Race,0
Feline,Feline,252
Feline,Deer,0
Feline,Lotus,0
Feline,Procession,1
Feline,Seated Figure,1
Feline,Bird,1
Feline,Flower,1
Feline,Sphinx,4
Feline,Animal,15
Feline,Male,0
Feline,Panther,9
Feline,Lion,3
Feline,Dots,2
Feline,Meander,0
Feline,Geometric,0
Feline,Volute,3
Feline,Potnia Theron,2
Feline,Bearded Head,0
Feline,Bucrania,0
Feline,Rabbit,0
Feline,Warrior,0
Feline,Hair,2
Feline,Griffin,0
Feline,Quadruped,1
Feline,Bearded,0
Feline,Notches,1
Feline,Bull,0
Feline,Figure,0
Feline,Stag,0
Feline,Chevron,0
Feline,Duck,0
Feline,Wrestler,0
Feline,Umpire,0
Feline,Bean,0
Feline,Cross-Hatched,0
Feline,Triangular,0
Feline,Ray,0
Feline,Vegetal,1
Feline,Caryatid,0
Feline,Braid,0
Feline,Florette,0
Feline,Asterisk,0
Feline,Chevrons,0
Feline,Other,0
Deer,Rosette,0
Deer,Circles,0
Deer,Female,0
Deer,Palmette,1
Deer,Gorgon,0
Deer,Tongue,0
Deer,Ram,0
Deer,Banquet,0
Deer,Guilloche,0
Deer,Horse,0
Deer,Horse Race,1
Deer,Feline,0
Deer,Deer,16
Deer,Lotus,0
Deer,Procession,0
Deer,Seated Figure,0
Deer,Bird,0
Deer,Flower,0
Deer,Sphinx,1
Deer,Animal,2
Deer,Male,0
Deer,Panther,0
Deer,Lion,0
Deer,Dots,0
Deer,Meander,0
Deer,Geometric,0
Deer,Volute,0
Deer,Potnia Theron,0
Deer,Bearded Head,0
Deer,Bucrania,0
Deer,Rabbit,0
Deer,Warrior,0
Deer,Hair,0
Deer,Griffin,0
Deer,Quadruped,1
Deer,Bearded,0
Deer,Notches,0
Deer,Bull,0
Deer,Figure,0
Deer,Stag,0
Deer,Chevron,0
Deer,Duck,0
Deer,Wrestler,0
Deer,Umpire,0
Deer,Bean,0
Deer,Cross-Hatched,0
Deer,Triangular,0
Deer,Ray,0
Deer,Vegetal,0
Deer,Caryatid,0
Deer,Braid,0
Deer,Florette,0
Deer,Asterisk,0
Deer,Chevrons,0
Deer,Other,0
Lotus,Rosette,0
Lotus,Circles,1
Lotus,Female,9
Lotus,Palmette,40
Lotus,Gorgon,0
Lotus,Tongue,0
Lotus,Ram,0
Lotus,Banquet,0
Lotus,Guilloche,7
Lotus,Horse,0
Lotus,Horse Race,0
Lotus,Feline,0
Lotus,Deer,0
Lotus,Lotus,96
Lotus,Procession,14
Lotus,Seated Figure,4
Lotus,Bird,1
Lotus,Flower,15
Lotus,Sphinx,2
Lotus,Animal,0
Lotus,Male,0
Lotus,Panther,0
Lotus,Lion,0
Lotus,Dots,0
Lotus,Meander,0
Lotus,Geometric,0
Lotus,Volute,7
Lotus,Potnia Theron,0
Lotus,Bearded Head,0
Lotus,Bucrania,0
Lotus,Rabbit,0
Lotus,Warrior,0
Lotus,Hair,0
Lotus,Griffin,0
Lotus,Quadruped,0
Lotus,Bearded,0
Lotus,Notches,0
Lotus,Bull,0
Lotus,Figure,2
Lotus,Stag,0
Lotus,Chevron,0
Lotus,Duck,0
Lotus,Wrestler,0
Lotus,Umpire,0
Lotus,Bean,0
Lotus,Cross-Hatched,1
Lotus,Triangular,0
Lotus,Ray,0
Lotus,Vegetal,0
Lotus,Caryatid,0
Lotus,Braid,0
Lotus,Florette,0
Lotus,Asterisk,0
Lotus,Chevrons,0
Lotus,Other,0
Procession,Rosette,0
Procession,Circles,0
Procession,Female,59
Procession,Palmette,0
Procession,Gorgon,0
Procession,Tongue,2
Procession,Ram,0
Procession,Banquet,2
Procession,Guilloche,61
Procession,Horse,0
Procession,Horse Race,1
Procession,Feline,1
Procession,Deer,0
Procession,Lotus,14
Procession,Procession,192
Procession,Seated Figure,23
Procession,Bird,1
Procession,Flower,0
Procession,Sphinx,0
Procession,Animal,2
Procession,Male,0
Procession,Panther,0
Procession,Lion,0
Procession,Dots,1
Procession,Meander,0
Procession,Geometric,0
Procession,Volute,1
Procession,Potnia Theron,0
Procession,Bearded Head,0
Procession,Bucrania,0
Procession,Rabbit,0
Procession,Warrior,0
Procession,Hair,0
Procession,Griffin,0
Procession,Quadruped,0
Procession,Bearded,0
Procession,Notches,0
Procession,Bull,0
Procession,Figure,2
Procession,Stag,1
Procession,Chevron,0
Procession,Duck,0
Procession,Wrestler,0
Procession,Umpire,0
Procession,Bean,0
Procession,Cross-Hatched,0
Procession,Triangular,0
Procession,Ray,0
Procession,Vegetal,0
Procession,Caryatid,0
Procession,Braid,0
Procession,Florette,0
Procession,Asterisk,0
Procession,Chevrons,0
Procession,Other,0
Seated Figure,Rosette,0
Seated Figure,Circles,1
Seated Figure,Female,17
Seated Figure,Palmette,0
Seated Figure,Gorgon,0
Seated Figure,Tongue,0
Seated Figure,Ram,0
Seated Figure,Banquet,10
Seated Figure,Guilloche,68
Seated Figure,Horse,0
Seated Figure,Horse Race,1
Seated Figure,Feline,1
Seated Figure,Deer,0
Seated Figure,Lotus,4
Seated Figure,Procession,23
Seated Figure,Seated Figure,349
Seated Figure,Bird,1
Seated Figure,Flower,3
Seated Figure,Sphinx,0
Seated Figure,Animal,2
